ParticipantID,Painting,SelfReportedLiking,FI_Valence,FI_MaxEmotion,FI_MaxIntensity,GazeTime,GazePercent_Audio,Audio_AvgValence,Audio_DominantEmotion,Audio_DominantEmotionIntensity,Audio_EmotionSequence,SaccadeRate,EngagementLevel,ReactionTime
101,Braque,3,14.48,surprise,28.95,61.92,80.8,-0.56,anger,7.14,anger;surprise;sadness;disgust;joy,6.99,low,17.61
101,Janco,5,0.0,neutral,0.0,58.74,86.38,-2.98,anger,12.58,anger;surprise;sadness;joy;disgust,8.19,low,2.72
101,Klimt,5,24.57,surprise,49.14,81.12,90.83,4.28,surprise,20.74,surprise;anger;sadness;joy;disgust,11.48,low,14.56
101,Picasso,5,3.54,surprise,29.86,39.16,60.12,-5.7,anger,12.65,anger;surprise;joy;sadness;disgust,8.89,low,2.41
101,Pollock,3,-14.96,anger,29.93,68.12,76.3,-5.88,anger,14.87,anger;surprise;sadness;disgust;joy,5.79,low,2.11
101,de Chirico,7,14.26,surprise,28.52,37.58,73.77,-2.45,anger,11.13,anger;surprise;joy;sadness;disgust,6.87,low,12.71
101,van Dongen,6,-14.02,anger,28.04,53.54,62.63,-4.2,anger,12.05,anger;surprise;sadness;joy;disgust,7.44,low,3.72
102,Braque,4,0.0,neutral,0.0,40.44,53.42,-4.48,sadness,4.8,sadness;disgust;anger;surprise;joy,5.91,low,8.28
102,Janco,6,12.4,surprise,24.8,59.02,89.08,1.23,surprise,3.87,surprise;anger;sadness;joy;disgust,6.35,low,1.34
102,Klimt,5,-12.4,surprise,45.56,62.82,69.52,1.29,surprise,16.64,surprise;sadness;anger;disgust;joy,11.76,low,11.86
102,Picasso,6,-60.11,sadness,60.11,50.42,83.42,-0.36,anger,1.88,anger;surprise;sadness;joy;disgust,6.94,low,1.77
102,Pollock,2,12.96,surprise,25.92,41.42,45.79,-0.77,surprise,3.18,surprise;anger;sadness;disgust;joy,4.73,moderate,1.97
102,de Chirico,5,0.0,neutral,0.0,28.96,59.36,-2.78,sadness,2.97,sadness;disgust;anger;joy;surprise,8.76,low,12.98
102,van Dongen,5,0.0,neutral,0.0,28.48,41.16,1.81,surprise,4.39,surprise;sadness;joy;anger;disgust,7.85,low,3.53
103,Braque,5,-17.47,anger,34.94,49.22,85.67,-3.35,anger,13.33,anger;surprise;joy;sadness;disgust,7.97,low,5.54
103,Janco,7,-11.12,anger,22.24,63.08,94.3,-0.1,anger,9.3,anger;surprise;joy;sadness;disgust,11.25,low,0.65
103,Klimt,5,-13.63,anger,27.25,30.12,93.06,0.4,surprise,6.65,surprise;anger;joy;sadness;disgust,20.22,low,9.48
103,Picasso,6,0.0,neutral,0.0,53.9,89.71,3.49,surprise,11.23,surprise;anger;joy;sadness;disgust,7.81,low,1.44
103,Pollock,6,1.16,surprise,24.73,77.06,88.04,-1.32,anger,4.88,anger;surprise;joy;sadness;disgust,9.39,low,3.48
103,de Chirico,5,10.84,surprise,21.69,43.34,88.32,3.3,surprise,12.66,surprise;anger;sadness;joy;disgust,7.57,low,6.61
103,van Dongen,7,-10.97,anger,21.94,70.38,86.48,-3.05,anger,7.2,anger;surprise;joy;sadness;disgust,7.95,low,3.02
104,Braque,3,0.0,neutral,0.0,48.0,63.77,-1.18,anger,6.11,anger;surprise;joy;sadness;disgust,15.77,low,6.56
104,Janco,4,0.0,neutral,0.0,62.8,95.19,-0.62,anger,4.89,anger;surprise;sadness;joy;disgust,20.25,low,1.79
104,Klimt,6,17.57,surprise,35.13,82.48,93.47,2.42,surprise,15.51,surprise;anger;sadness;joy;disgust,20.14,low,62.3
104,Picasso,5,0.0,neutral,0.0,48.86,80.16,1.56,surprise,8.14,surprise;anger;sadness;joy;disgust,15.63,low,2.58
104,Pollock,2,11.08,surprise,22.15,82.74,94.27,-1.09,anger,7.44,anger;surprise;sadness;joy;disgust,15.49,low,5.73
104,de Chirico,6,0.0,neutral,0.0,39.86,81.49,0.82,surprise,6.6,surprise;anger;joy;sadness;disgust,14.29,low,7.59
104,van Dongen,7,0.0,neutral,0.0,71.26,87.79,-0.77,anger,3.76,anger;surprise;joy;sadness;disgust,15.88,low,7.06
105,Braque,3,21.58,surprise,43.15,26.06,34.37,-6.68,anger,14.36,anger;surprise;sadness;joy;disgust,11.93,low,5.6
105,Janco,1,-7.75,anger,36.01,15.18,23.28,-6.18,sadness,8.64,sadness;anger;surprise;joy;disgust,12.45,low,2.05
105,Klimt,5,34.28,surprise,68.57,49.84,52.78,1.34,surprise,17.05,surprise;anger;sadness;joy;disgust,19.94,low,13.88
105,Picasso,6,-22.35,sadness,22.35,28.42,47.64,-0.6,surprise,7.86,surprise;anger;sadness;joy;disgust,13.52,low,5.07
105,Pollock,4,24.24,surprise,48.47,38.58,42.42,3.79,surprise,14.65,surprise;anger;sadness;joy;disgust,11.51,low,3.4
105,de Chirico,7,21.88,surprise,43.76,15.1,31.06,-6.2,anger,14.03,anger;surprise;sadness;joy;disgust,17.44,low,7.72
105,van Dongen,6,0.0,neutral,0.0,16.92,20.71,-7.54,anger,12.69,anger;sadness;surprise;joy;disgust,17.15,low,3.4
106,Braque,4,0.0,sadness,27.51,54.96,77.48,-1.87,sadness,2.51,sadness;anger;surprise;joy;disgust,7.95,low,5.32
106,Janco,5,-22.81,sadness,22.81,39.54,71.7,-1.83,anger,2.94,anger;sadness;surprise;joy;disgust,11.41,low,2.44
106,Klimt,5,0.0,neutral,0.0,86.0,89.17,-3.46,sadness,6.64,sadness;anger;surprise;joy;disgust,14.78,low,9.13
106,Picasso,6,0.0,neutral,0.0,50.16,82.16,-4.6,anger,6.73,anger;sadness;surprise;disgust;joy,8.51,low,2.03
106,Pollock,5,-20.09,sadness,20.09,81.44,92.28,-5.87,anger,11.26,anger;sadness;surprise;joy;disgust,7.12,low,6.4
106,de Chirico,6,0.0,neutral,0.0,43.16,85.85,-0.83,anger,1.58,anger;sadness;surprise;joy;disgust,8.49,low,5.46
106,van Dongen,5,0.0,neutral,0.0,28.84,83.95,-1.54,anger,3.23,anger;surprise;sadness;joy;disgust,8.17,low,4.24
107,Braque,4,0.0,neutral,0.0,49.34,64.43,-1.0,surprise,8.77,surprise;anger;sadness;joy;disgust,7.55,low,5.36
107,Janco,1,11.02,joy,22.05,54.36,82.92,-1.14,surprise,6.37,surprise;sadness;anger;disgust;joy,9.34,low,56.22
107,Klimt,7,16.48,surprise,32.96,81.2,91.77,5.63,surprise,28.14,surprise;sadness;anger;joy;disgust,12.31,low,13.23
107,Picasso,7,0.0,neutral,0.0,45.5,75.73,0.46,surprise,11.89,surprise;anger;sadness;joy;disgust,8.46,low,1.34
107,Pollock,4,0.0,neutral,0.0,71.58,81.48,1.38,surprise,9.0,surprise;sadness;anger;joy;disgust,6.67,low,2.05
107,de Chirico,2,0.0,neutral,0.0,40.32,82.93,-0.73,surprise,10.73,surprise;sadness;anger;disgust;joy,7.47,low,10.39
107,van Dongen,7,37.8,joy,52.44,67.78,83.41,0.17,surprise,6.7,surprise;anger;sadness;joy;disgust,6.39,low,3.79
108,Braque,4,0.0,neutral,0.0,34.68,44.59,-20.84,sadness,22.33,sadness;anger;surprise;joy;disgust,10.9,low,7.89
108,Janco,7,0.0,neutral,0.0,55.26,83.56,-15.59,sadness,20.11,sadness;anger;surprise;joy;disgust,11.16,low,2.27
108,Klimt,5,0.0,neutral,0.0,81.24,91.13,-15.55,sadness,18.54,sadness;anger;joy;surprise;disgust,13.74,low,5.92
108,Picasso,5,0.0,neutral,0.0,38.2,62.17,-12.34,sadness,14.14,sadness;anger;joy;surprise;disgust,7.64,low,1.93
108,Pollock,7,0.0,neutral,0.0,66.44,74.15,-20.67,anger,22.83,anger;sadness;surprise;joy;disgust,8.26,low,2.53
108,de Chirico,6,0.0,neutral,0.0,30.18,58.12,-19.37,sadness,26.06,sadness;anger;surprise;joy;disgust,8.89,low,15.93
108,van Dongen,4,-10.8,joy,23.55,42.24,50.94,-17.31,anger,17.62,anger;sadness;joy;disgust;surprise,8.2,low,3.56
109,Braque,3,19.98,surprise,39.97,50.98,67.45,6.93,surprise,16.18,surprise;anger;joy;sadness;disgust,7.97,low,3.88
109,Janco,3,11.86,surprise,23.72,49.34,75.28,8.22,surprise,21.24,surprise;anger;sadness;joy;disgust,10.26,low,1.76
109,Klimt,7,19.01,surprise,38.02,65.06,74.26,9.36,surprise,24.55,surprise;anger;joy;sadness;disgust,13.86,low,4.94
109,Picasso,7,23.4,surprise,46.79,50.14,83.09,3.8,surprise,12.99,surprise;anger;joy;sadness;disgust,7.92,low,1.52
109,Pollock,2,18.94,surprise,37.88,59.92,68.67,9.41,surprise,22.34,surprise;anger;joy;sadness;disgust,7.43,low,5.42
109,de Chirico,5,22.3,surprise,44.61,35.24,75.33,5.46,surprise,14.34,surprise;anger;joy;sadness;disgust,8.66,low,4.97
109,van Dongen,7,0.0,neutral,0.0,40.44,50.09,7.4,surprise,20.51,surprise;anger;sadness;joy;disgust,8.29,low,7.5
110,Braque,6,0.0,neutral,0.0,44.24,57.86,0.73,joy,1.46,joy;sadness;anger;disgust;surprise,7.33,low,8.47
110,Janco,6,11.03,joy,22.06,42.52,61.85,-0.33,anger,0.67,anger;surprise;sadness;joy;disgust,8.82,low,16.21
110,Klimt,7,13.88,joy,27.76,78.96,85.06,6.36,joy,14.74,joy;anger;surprise;sadness;disgust,12.54,low,15.35
110,Picasso,5,0.0,neutral,0.0,46.48,76.0,-1.35,anger,1.57,anger;sadness;joy;disgust;surprise,8.12,low,2.22
110,Pollock,5,14.46,joy,28.93,59.08,63.97,7.97,joy,18.15,joy;anger;sadness;surprise;disgust,7.13,low,4.02
110,de Chirico,4,0.0,neutral,0.0,41.36,82.93,-0.22,anger,0.43,anger;joy;sadness;disgust;surprise,8.74,low,15.6
110,van Dongen,6,18.7,joy,37.4,47.38,57.43,-6.89,sadness,7.18,sadness;anger;joy;disgust;surprise,7.23,low,5.05
111,Braque,3,0.0,neutral,0.0,45.58,59.52,-8.92,sadness,8.92,sadness;anger;joy;disgust;surprise,11.01,low,7.27
111,Janco,7,0.0,neutral,0.0,58.82,86.63,-8.27,sadness,8.27,sadness;anger;joy;disgust;surprise,14.47,low,61.1
