Painting,Variable,N,Mean,SD,Median,Min,Max
Braque,TimeAtTheTile,48.0,85.88916666666667,4.073302196024969,85.22,80.89,105.74
Braque,TileTimePercent_Audio,48.0,114.98958333333333,5.453614440074848,114.095,108.3,141.57
Braque,SelfReportedLiking,48.0,28.166666666666668,16.134189063525586,23.5,4.0,53.0
Braque,GazeTime,48.0,49.91791666666668,14.756939796689576,52.28,8.68,70.72
Braque,GazePercent_Audio,48.0,68.06416666666667,19.425258489293945,72.305,11.52,92.58
Braque,SaccadeRate,48.0,8.254791666666668,3.3527879726753245,7.77,3.91,26.31
Braque,ReactionTime,48.0,7.174166666666667,2.2478186431476783,6.765000000000001,4.12,14.56
Janco,TimeAtTheTile,48.0,96.08999999999999,28.397750135634997,78.06,70.25,148.76
Janco,TileTimePercent_Audio,48.0,147.2825,43.52699756497427,119.655,107.68,228.02
Janco,SelfReportedLiking,48.0,28.59375,15.255852120945923,24.5,1.0,43.5
Janco,GazeTime,48.0,53.36833333333334,10.039346281450065,55.91,24.94,65.68
Janco,GazePercent_Audio,48.0,81.599375,13.94246832541925,84.86500000000001,37.09,98.22
Janco,SaccadeRate,48.0,9.748333333333333,3.393789279516167,9.37,6.13,27.31
Janco,ReactionTime,48.0,13.050208333333336,21.557077278859897,2.47,0.01,63.41
Klimt,TimeAtTheTile,48.0,115.421875,16.89354083493124,111.75,95.31,169.14
Klimt,TileTimePercent_Audio,48.0,132.61979166666666,19.408699682357117,128.405,109.52,194.33
Klimt,SelfReportedLiking,48.0,27.239583333333332,16.004317762926902,20.0,1.0,51.5
Klimt,GazeTime,48.0,77.54583333333333,12.52868501587259,79.80000000000001,14.82,96.1
Klimt,GazePercent_Audio,48.0,87.085,9.217083814447669,89.89500000000001,63.11,99.08
Klimt,SaccadeRate,48.0,12.873541666666668,2.8378156790063347,12.39,7.1,25.96
Klimt,ReactionTime,48.0,18.592291666666664,15.88821980836991,14.675,1.82,74.06
Picasso,TimeAtTheTile,48.0,67.45208333333333,1.7969062755526701,66.905,64.31,72.84
Picasso,TileTimePercent_Audio,48.0,112.23062499999999,2.990589073296288,111.31,107.02,121.19
Picasso,SelfReportedLiking,48.0,28.59375,16.134954868763074,37.5,1.5,51.0
Picasso,GazeTime,48.0,44.913333333333334,12.484296405388196,48.269999999999996,5.06,60.24
Picasso,GazePercent_Audio,48.0,74.38791666666667,20.404916695605742,80.77,7.82,99.8
Picasso,SaccadeRate,48.0,8.111458333333333,3.512861468995697,7.6,3.35,27.56
Picasso,ReactionTime,48.0,2.420833333333333,0.9515739108452997,2.225,1.11,5.0
Pollock,TimeAtTheTile,48.0,119.39270833333335,45.79080525280544,103.055,96.49,286.8
Pollock,TileTimePercent_Audio,48.0,136.79291666666668,52.46549151416286,118.07499999999999,110.55,328.6
Pollock,SelfReportedLiking,48.0,29.15625,15.02839732186469,30.0,5.5,51.5
Pollock,GazeTime,48.0,64.14291666666666,20.95340564999717,66.69999999999999,9.18,109.84
Pollock,GazePercent_Audio,48.0,72.40604166666667,20.34897861826823,76.7,17.1,96.77
Pollock,SaccadeRate,48.0,7.009166666666666,1.603214634139973,7.02,2.65,11.6
Pollock,ReactionTime,48.0,5.571666666666666,3.4205638040517026,5.125,1.31,18.37
de Chirico,TimeAtTheTile,48.0,63.625,11.223366961720835,60.925,55.62,128.45
de Chirico,TileTimePercent_Audio,48.0,130.7960416666667,23.071965740854488,125.25,114.34,264.05
de Chirico,SelfReportedLiking,48.0,27.6875,15.58252738083486,29.0,2.0,46.5
de Chirico,GazeTime,48.0,38.87291666666667,8.747395468496293,42.370000000000005,5.7,48.3
de Chirico,GazePercent_Audio,48.0,78.46416666666667,17.832794059586714,84.245,10.53,97.66
de Chirico,SaccadeRate,48.0,8.197083333333333,3.1653274230378536,7.57,3.25,25.52
de Chirico,ReactionTime,48.0,10.725208333333335,10.08628624263855,8.215,4.65,70.21
van Dongen,TimeAtTheTile,48.0,92.518125,14.871100440938058,89.555,86.38,191.43
van Dongen,TileTimePercent_Audio,48.0,114.5425,18.40803865798968,110.87,106.93,236.99
van Dongen,SelfReportedLiking,48.0,28.072916666666668,16.30232641776031,27.5,3.5,51.0
van Dongen,GazeTime,48.0,53.07708333333333,19.609858566909256,59.94,6.0,78.98
van Dongen,GazePercent_Audio,48.0,67.01166666666667,22.123155610906803,74.00999999999999,12.82,96.71
van Dongen,SaccadeRate,48.0,7.811875000000001,3.4961898143672214,7.42,3.75,27.84
van Dongen,ReactionTime,48.0,6.382499999999999,10.315648616688081,4.4350000000000005,2.14,74.74
