Painting,TourType,Variable,N,Mean,SD,Median,Min,Max
Braque,1,TimeAtTheTile,16.0,86.969375,2.7838234348942925,86.545,83.51,93.74
Braque,1,TileTimePercent_Audio,16.0,116.43375,3.7287064334252253,115.86500000000001,111.8,125.5
Braque,1,SelfReportedLiking,16.0,29.4375,16.475107485739407,30.5,4.0,53.0
Braque,1,GazeTime,16.0,46.61750000000001,14.588327525799523,49.129999999999995,20.04,64.56
Braque,1,GazePercent_Audio,16.0,65.3475,20.039742346979747,71.86500000000001,25.84,88.27
Braque,1,SaccadeRate,16.0,8.7575,5.265126146003848,7.48,4.15,26.31
Braque,1,ReactionTime,16.0,7.761875,2.2147211073481317,6.93,5.57,14.56
Braque,2,TimeAtTheTile,16.0,86.74625,5.6342664414574255,85.345,82.08,105.74
Braque,2,TileTimePercent_Audio,16.0,116.13875,7.542879092229966,114.26,109.88,141.57
Braque,2,SelfReportedLiking,16.0,26.15625,17.641540701801908,23.5,4.0,53.0
Braque,2,GazeTime,16.0,48.870000000000005,14.46685591274068,50.82,10.4,70.72
Braque,2,GazePercent_Audio,16.0,66.666875,18.58676328959223,69.4,13.77,92.58
Braque,2,SaccadeRate,16.0,7.75625,1.9054303975742592,7.640000000000001,3.91,11.01
Braque,2,ReactionTime,16.0,7.8925,2.5291935473585254,7.26,5.35,14.33
Braque,3,TimeAtTheTile,16.0,83.951875,2.541942088902367,83.12,80.89,90.49
Braque,3,TileTimePercent_Audio,16.0,112.39625,3.4038250542588124,111.28,108.3,121.15
Braque,3,SelfReportedLiking,16.0,28.90625,15.045728906680903,23.5,4.0,53.0
Braque,3,GazeTime,16.0,54.26625,15.075457704494413,58.32,8.68,69.72
Braque,3,GazePercent_Audio,16.0,72.17812500000001,20.180862293684743,79.62,11.52,92.53
Braque,3,SaccadeRate,16.0,8.250625,1.8263277133818747,8.045,5.48,12.09
Braque,3,ReactionTime,16.0,5.868124999999999,1.3385276425983887,5.295,4.12,8.14
Janco,1,TimeAtTheTile,16.0,75.793125,3.2458090285782375,74.92,72.2,83.83
Janco,1,TileTimePercent_Audio,16.0,116.175,4.972540598124867,114.83500000000001,110.67,128.49
Janco,1,SelfReportedLiking,16.0,27.59375,14.516908245215301,24.5,2.0,43.5
Janco,1,GazeTime,16.0,54.206250000000004,9.565941581116485,57.34,36.46,64.04
Janco,1,GazePercent_Audio,16.0,81.48875,14.281709923301667,86.06,53.97,96.63
Janco,1,SaccadeRate,16.0,10.063125,5.006609922559043,8.135,6.18,27.31
Janco,1,ReactionTime,16.0,3.0375000000000005,1.5970952799796678,2.6050000000000004,1.54,7.36
Janco,2,TimeAtTheTile,16.0,134.195625,5.1832550503198895,133.59,126.36,148.76
Janco,2,TileTimePercent_Audio,16.0,205.69,7.943611269441627,204.765,193.68,228.02
Janco,2,SelfReportedLiking,16.0,29.34375,16.301041633384454,34.0,1.0,43.5
Janco,2,GazeTime,16.0,50.0025,11.929590940178963,54.81,24.94,63.4
Janco,2,GazePercent_Audio,16.0,78.195625,16.31093905686201,83.30000000000001,37.09,96.6
Janco,2,SaccadeRate,16.0,9.057500000000001,2.4472882952361785,8.465,6.13,14.47
Janco,2,ReactionTime,16.0,33.499375,27.800122893913016,41.72,1.26,63.41
Janco,3,TimeAtTheTile,16.0,78.28125,12.761501936162007,73.91499999999999,70.25,123.54
Janco,3,TileTimePercent_Audio,16.0,119.98249999999999,19.55901957324719,113.275,107.68,189.35
Janco,3,SelfReportedLiking,16.0,28.84375,15.84478752355697,34.0,8.0,43.5
Janco,3,GazeTime,16.0,55.89625,7.895069241832737,57.58,39.54,65.68
Janco,3,GazePercent_Audio,16.0,85.11375000000001,10.655380409289322,85.805,65.53,98.22
Janco,3,SaccadeRate,16.0,10.124375,2.0659524639578066,10.16,6.88,15.09
Janco,3,ReactionTime,16.0,2.61375,3.3942556866957836,1.77,0.01,15.04
Klimt,1,TimeAtTheTile,16.0,119.324375,17.8761960788642,114.64,97.94,169.14
Klimt,1,TileTimePercent_Audio,16.0,137.104375,20.538674403427308,131.72,112.54,194.33
Klimt,1,SelfReportedLiking,16.0,24.0,13.391539617733779,20.0,3.5,51.5
Klimt,1,GazeTime,16.0,72.57625,18.120925978915462,73.8,14.82,96.1
Klimt,1,GazePercent_Audio,16.0,84.246875,9.604733359998427,82.63499999999999,69.38,98.3
Klimt,1,SaccadeRate,16.0,13.463125,3.8450118660415082,12.325,10.25,25.96
Klimt,1,ReactionTime,16.0,23.2275,17.026726637847922,18.505000000000003,5.66,74.06
Klimt,2,TimeAtTheTile,16.0,116.5325,16.01008744510785,113.53999999999999,99.82,151.89
Klimt,2,TileTimePercent_Audio,16.0,133.895625,18.39625431756875,130.45,114.69,174.52
Klimt,2,SelfReportedLiking,16.0,32.0625,13.804437692278523,38.5,7.5,51.5
Klimt,2,GazeTime,16.0,78.13875,9.07585652523588,79.80000000000001,57.8,94.56
Klimt,2,GazePercent_Audio,16.0,86.480625,9.862557794507465,90.125,63.11,99.08
Klimt,2,SaccadeRate,16.0,12.414375,2.029075220389821,12.725,7.1,15.9
Klimt,2,ReactionTime,16.0,20.148125,16.446935770835854,16.505,4.63,61.36
Klimt,3,TimeAtTheTile,16.0,110.40875000000001,16.552302911276932,107.23,95.31,157.84
Klimt,3,TileTimePercent_Audio,16.0,126.859375,19.012543743101116,123.19999999999999,109.52,181.33
Klimt,3,SelfReportedLiking,16.0,25.65625,19.84919708703604,20.0,1.0,51.5
Klimt,3,GazeTime,16.0,81.9225,5.826092458357775,83.07,70.44,89.06
Klimt,3,GazePercent_Audio,16.0,90.5275,7.419420911814254,91.345,75.06,98.9
Klimt,3,SaccadeRate,16.0,12.743125,2.391291753425332,12.355,8.59,17.03
Klimt,3,ReactionTime,16.0,12.40125,12.812875750587766,8.83,1.82,51.71
Picasso,1,TimeAtTheTile,16.0,68.014375,1.8855590461893965,67.275,65.78,72.83
Picasso,1,TileTimePercent_Audio,16.0,113.16875,3.137327684511137,111.935,109.44,121.17
Picasso,1,SelfReportedLiking,16.0,24.375,16.945500877814144,20.5,1.5,51.0
Picasso,1,GazeTime,16.0,43.552499999999995,11.936764218162308,43.480000000000004,21.5,60.24
Picasso,1,GazePercent_Audio,16.0,71.264375,19.737910719813616,71.55,34.65,99.8
Picasso,1,SaccadeRate,16.0,8.62875,5.497533841035754,7.32,3.35,27.56
Picasso,1,ReactionTime,16.0,2.488125,0.469229421498695,2.45,1.82,3.61
Picasso,2,TimeAtTheTile,16.0,67.185625,2.104164026400984,66.63,64.31,72.84
Picasso,2,TileTimePercent_Audio,16.0,111.78812500000001,3.4983809945935453,110.875,107.02,121.19
Picasso,2,SelfReportedLiking,16.0,33.125,17.146914202464146,37.5,4.5,51.0
Picasso,2,GazeTime,16.0,45.3625,12.490785670511949,48.15,13.38,58.36
Picasso,2,GazePercent_Audio,16.0,76.530625,19.784146673115153,82.24,22.24,95.77
Picasso,2,SaccadeRate,16.0,7.605625000000001,2.201671997217872,7.45,3.94,12.82
Picasso,2,ReactionTime,16.0,2.515625,1.3670014325766695,2.12,1.11,4.78
Picasso,3,TimeAtTheTile,16.0,67.15625,1.2759147045681913,67.04,65.36,69.42
Picasso,3,TileTimePercent_Audio,16.0,111.735,2.1289026907462594,111.53999999999999,108.74,115.53
Picasso,3,SelfReportedLiking,16.0,28.28125,13.91278638519258,37.5,1.5,51.0
Picasso,3,GazeTime,16.0,45.825,13.666413330985323,50.709999999999994,5.06,56.96
Picasso,3,GazePercent_Audio,16.0,75.36875,22.522625328026635,83.16,7.82,94.27
Picasso,3,SaccadeRate,16.0,8.1,1.7427602627250065,8.524999999999999,4.51,10.37
Picasso,3,ReactionTime,16.0,2.25875,0.840181528004514,2.05,1.53,5.0
Pollock,1,TimeAtTheTile,16.0,111.345,21.289215736298665,104.26,98.06,185.59
Pollock,1,TileTimePercent_Audio,16.0,127.57312499999998,24.39983407559704,119.455,112.35,212.67
Pollock,1,SelfReportedLiking,16.0,32.34375,13.539717808482322,30.0,5.5,51.5
Pollock,1,GazeTime,16.0,56.78875,26.648366022453732,68.09,9.18,87.88
Pollock,1,GazePercent_Audio,16.0,67.8225,26.010772511916414,78.99000000000001,17.1,95.85
Pollock,1,SaccadeRate,16.0,6.99375,1.9982454804152565,6.705,3.98,11.6
Pollock,1,ReactionTime,16.0,5.493125,3.3743497521744836,4.98,1.75,13.65
Pollock,2,TimeAtTheTile,16.0,132.46625,60.49590982041678,104.275,97.29,268.14
Pollock,2,TileTimePercent_Audio,16.0,151.770625,69.31268873433878,119.47,111.47,307.22
Pollock,2,SelfReportedLiking,16.0,29.25,17.192052427405713,30.0,5.5,51.5
Pollock,2,GazeTime,16.0,63.803749999999994,18.112659615123707,66.21000000000001,18.14,90.12
Pollock,2,GazePercent_Audio,16.0,70.453125,19.791224559974385,72.74000000000001,18.43,96.77
Pollock,2,SaccadeRate,16.0,6.8725000000000005,1.6639811697652511,6.68,2.65,9.89
Pollock,2,ReactionTime,16.0,5.046875,3.1216549430283504,4.435,1.97,13.48
Pollock,3,TimeAtTheTile,16.0,114.366875,46.67593094500991,101.36,96.49,286.8
Pollock,3,TileTimePercent_Audio,16.0,131.03500000000003,53.4787541615048,116.13,110.55,328.6
Pollock,3,SelfReportedLiking,16.0,25.875,14.368368035375486,30.0,5.5,51.5
Pollock,3,GazeTime,16.0,71.83625,14.714818324849727,71.43,50.24,109.84
Pollock,3,GazePercent_Audio,16.0,78.9425,12.535928366100373,81.57,57.05,94.82
Pollock,3,SaccadeRate,16.0,7.161250000000001,1.1166609452589746,7.245,5.25,8.87
Pollock,3,ReactionTime,16.0,6.175000000000001,3.8524295364527226,6.0600000000000005,1.31,18.37
de Chirico,1,TimeAtTheTile,16.0,60.458749999999995,2.04431202771658,60.04,57.33,65.51
de Chirico,1,TileTimePercent_Audio,16.0,124.2875,4.203807004767621,123.42500000000001,117.86,134.69
de Chirico,1,SelfReportedLiking,16.0,34.78125,15.715139993013107,46.5,2.0,46.5
de Chirico,1,GazeTime,16.0,36.6875,10.0365488756511,38.39,11.9,47.7
de Chirico,1,GazePercent_Audio,16.0,73.54249999999999,19.865758648153026,77.85,23.49,96.87
de Chirico,1,SaccadeRate,16.0,8.733125,4.8571716306920845,7.3100000000000005,3.25,25.52
de Chirico,1,ReactionTime,16.0,7.665,1.0968014101619918,7.635,5.92,9.88
de Chirico,2,TimeAtTheTile,16.0,66.76875000000001,7.949997798741833,65.62,59.69,93.56
