TourType,Variable,N,Mean,SD,Median,Min,Max
1,TimeAtTheTile,112.0,87.45598214285714,22.755384412209477,86.545,57.33,185.59
1,TileTimePercent_Audio,112.0,120.93124999999999,14.844461103403194,116.275,107.47,212.67
1,SelfReportedLiking,112.0,27.754464285714285,15.607516602111929,27.5,1.5,53.0
1,GazeTime,112.0,51.06017857142857,19.853533508184828,51.5,6.0,96.1
1,GazePercent_Audio,112.0,72.08035714285714,20.601476590505293,77.895,17.1,99.8
1,SaccadeRate,112.0,9.339642857142858,4.966148276091713,7.885,3.25,27.84
1,ReactionTime,112.0,7.774464285714286,9.268206804343674,5.695,1.54,74.06
2,TimeAtTheTile,112.0,99.19000000000001,35.4894148157442,90.695,59.69,268.14
2,TileTimePercent_Audio,112.0,138.36008928571428,41.30756265412411,119.65,107.02,307.22
2,SelfReportedLiking,112.0,28.955357142857142,16.084875327018057,27.5,1.0,53.0
2,GazeTime,112.0,53.90624999999999,18.756225254853675,55.269999999999996,5.7,94.56
2,GazePercent_Audio,112.0,74.31482142857143,20.201512296531764,81.125,10.53,99.08
2,SaccadeRate,112.0,8.393928571428571,2.6474357327073985,7.6850000000000005,2.65,15.9
2,ReactionTime,112.0,12.519464285714283,16.00507131563408,6.61,1.11,63.41
3,TimeAtTheTile,112.0,87.80642857142857,28.834279769619528,84.05000000000001,55.62,286.8
3,TileTimePercent_Audio,112.0,121.8175,29.230504198109138,114.72999999999999,106.93,328.6
3,SelfReportedLiking,112.0,27.9375,15.372715533791773,28.25,1.0,53.0
3,GazeTime,112.0,58.67857142857143,17.27224085772035,57.58,5.06,109.84
3,GazePercent_Audio,112.0,80.3269642857143,15.491734956507518,84.35499999999999,7.82,98.9
3,SaccadeRate,112.0,8.840535714285714,2.551290024968896,8.5,4.36,17.03
3,ReactionTime,112.0,7.099017857142856,10.766556072270088,4.95,0.01,74.74
