Group,Variable,n,median,q1,q3,iqr
All,AvgSelfReportedLiking,48,28.785,23.4075,32.7125,9.305
All,AvgGazeTime,48,56.41,51.01,60.9225,9.912500000000001
All,AvgGazePercent_Audio,48,78.34,71.13,85.625,14.495000000000005
All,AvgSaccadeRate,48,8.365,7.4399999999999995,9.5875,2.147500000000001
All,Engagement_High,48,0.0,0.0,0.0,0.0
All,Engagement_Moderate,48,0.0,0.0,0.0,0.0
All,Engagement_Low,48,7.0,7.0,7.0,0.0
All,TotalExperimentTime,48,638.035,601.135,669.3924999999999,68.25749999999994
All,AvgSpeed,48,0.1,0.08,0.12,0.039999999999999994
All,TotalDistance,48,60.685,52.292500000000004,80.39999999999999,28.107499999999987
All,TimeStill,48,144.18,107.11500000000001,181.465,74.35
All,TimeMoving,48,508.66999999999996,433.09499999999997,567.98,134.88500000000005
All,Q1_SatisfactionTour,48,22.0,22.0,44.0,22.0
All,Q2_SatisfactionExplanations,48,26.0,11.0,45.0,34.0
All,Q3_VisitDuration,48,38.0,19.0,38.0,19.0
All,Q4_WantMoreExplanations,48,32.0,9.0,36.25,27.25
All,Q5_VisitAgainThisMuseum,48,25.0,14.0,45.0,31.0
All,Q6_VisitOtherMuseums,48,25.0,12.0,44.0,32.0
All,Q7_RecommendFriends,48,32.0,10.0,42.0,32.0
All,AvgGeneralRating,48,30.285,21.445,36.765,15.32
1,AvgSelfReportedLiking,16,28.36,23.4075,31.9625,8.555
1,AvgGazeTime,16,53.745,43.42,59.475,16.055
1,AvgGazePercent_Audio,16,76.24,61.565,85.2875,23.722499999999997
1,AvgSaccadeRate,16,7.955,7.15,9.717500000000001,2.567500000000001
1,Engagement_High,16,0.0,0.0,0.0,0.0
1,Engagement_Moderate,16,0.0,0.0,0.25,0.25
1,Engagement_Low,16,7.0,6.75,7.0,0.25
1,TotalExperimentTime,16,658.49,639.605,696.7275,57.122499999999945
1,AvgSpeed,16,0.1,0.08,0.14,0.06000000000000001
1,TotalDistance,16,65.13,55.28,96.8525,41.572500000000005
1,TimeStill,16,130.05,87.745,172.29,84.54499999999999
1,TimeMoving,16,556.39,484.45,593.88,109.43
1,Q1_SatisfactionTour,16,22.0,18.25,44.0,25.75
1,Q2_SatisfactionExplanations,16,26.0,11.0,45.0,34.0
1,Q3_VisitDuration,16,28.5,19.0,41.0,22.0
1,Q4_WantMoreExplanations,16,25.0,9.0,32.0,23.0
1,Q5_VisitAgainThisMuseum,16,25.0,9.0,45.0,36.0
1,Q6_VisitOtherMuseums,16,25.0,6.0,25.0,19.0
1,Q7_RecommendFriends,16,22.0,10.0,42.0,32.0
1,AvgGeneralRating,16,29.75,13.785,32.2675,18.482499999999998
2,AvgSelfReportedLiking,16,29.215,24.192500000000003,32.25,8.057499999999997
2,AvgGazeTime,16,56.55,51.01,60.25,9.240000000000002
2,AvgGazePercent_Audio,16,78.94,68.57,83.98,15.41000000000001
2,AvgSaccadeRate,16,8.205,7.56,9.045,1.4850000000000003
2,Engagement_High,16,0.0,0.0,0.0,0.0
2,Engagement_Moderate,16,0.0,0.0,0.0,0.0
2,Engagement_Low,16,7.0,7.0,7.0,0.0
2,TotalExperimentTime,16,639.8050000000001,618.1175000000001,656.4100000000001,38.29250000000002
2,AvgSpeed,16,0.1,0.0875,0.115,0.02750000000000001
2,TotalDistance,16,63.894999999999996,54.260000000000005,81.4875,27.227499999999992
2,TimeStill,16,164.12,136.425,219.10500000000002,82.68
2,TimeMoving,16,497.7,433.09499999999997,568.375,135.28000000000003
2,Q1_SatisfactionTour,16,22.0,22.0,44.0,22.0
2,Q2_SatisfactionExplanations,16,35.5,11.0,45.0,34.0
2,Q3_VisitDuration,16,38.0,19.0,38.0,19.0
2,Q4_WantMoreExplanations,16,32.0,9.0,49.0,40.0
2,Q5_VisitAgainThisMuseum,16,35.0,22.25,45.0,22.75
2,Q6_VisitOtherMuseums,16,44.0,25.0,44.0,19.0
2,Q7_RecommendFriends,16,42.0,22.0,42.0,20.0
2,AvgGeneralRating,16,32.75,28.0925,37.5925,9.5
3,AvgSelfReportedLiking,16,27.25,23.965,33.0875,9.122499999999999
3,AvgGazeTime,16,58.879999999999995,54.7925,63.3575,8.565000000000005
3,AvgGazePercent_Audio,16,80.85499999999999,74.5025,87.08500000000001,12.58250000000001
3,AvgSaccadeRate,16,9.195,7.9125,9.635,1.7225000000000001
3,Engagement_High,16,0.0,0.0,0.0,0.0
3,Engagement_Moderate,16,0.0,0.0,0.0,0.0
3,Engagement_Low,16,7.0,7.0,7.0,0.0
3,TotalExperimentTime,16,597.595,581.535,633.53,51.995000000000005
3,AvgSpeed,16,0.09,0.07,0.10250000000000001,0.0325
3,TotalDistance,16,55.525,44.0475,71.455,27.4075
3,TimeStill,16,127.47999999999999,113.91,180.39,66.47999999999999
3,TimeMoving,16,470.96000000000004,418.775,524.5500000000001,105.77500000000009
3,Q1_SatisfactionTour,16,33.0,22.0,44.0,22.0
3,Q2_SatisfactionExplanations,16,26.0,11.0,45.0,34.0
3,Q3_VisitDuration,16,28.5,15.25,38.0,22.75
3,Q4_WantMoreExplanations,16,32.0,28.5,49.0,20.5
3,Q5_VisitAgainThisMuseum,16,25.0,22.25,45.0,22.75
3,Q6_VisitOtherMuseums,16,25.0,12.0,44.0,32.0
3,Q7_RecommendFriends,16,32.0,19.0,42.0,23.0
3,AvgGeneralRating,16,29.82,23.1075,36.9475,13.839999999999996
