Variable,N,Mean,SD,Median,Min,Max
AvgSelfReportedLiking,48.0,28.21541666666667,7.765946109240728,28.785,12.86,44.5
AvgGazeTime,48.0,54.548333333333325,10.660494047338206,56.41,20.61,68.74
AvgGazePercent_Audio,48.0,75.57479166666667,14.11220069536683,78.34,26.22,94.35
AvgSaccadeRate,48.0,8.857708333333333,2.806240947165104,8.365,4.74,24.35
Engagement_High,48.0,0.020833333333333332,0.14433756729740643,0.0,0.0,1.0
Engagement_Moderate,48.0,0.3958333333333333,1.005084591196678,0.0,0.0,5.0
Engagement_Low,48.0,6.583333333333333,1.068570995129105,7.0,2.0,7.0
TotalExperimentTime,48.0,649.3829166666666,67.2933042086065,638.035,550.63,851.53
AvgSpeed,48.0,0.1025,0.02862077804970041,0.1,0.06,0.18
TotalDistance,48.0,69.03875000000001,25.24431594965404,60.685,35.59,137.65
TimeStill,48.0,150.4875,59.92036014222935,144.18,41.04,271.18
TimeMoving,48.0,515.2266666666666,107.80145416722067,508.66999999999996,325.5,817.88
Q1_SatisfactionTour,48.0,27.791666666666668,15.124952376690748,22.0,1.0,44.0
Q2_SatisfactionExplanations,48.0,28.291666666666668,15.291435975224731,26.0,1.0,45.0
Q3_VisitDuration,48.0,29.6875,14.877022480064364,38.0,4.0,55.0
Q4_WantMoreExplanations,48.0,27.8125,15.882087126362256,32.0,1.0,49.0
Q5_VisitAgainThisMuseum,48.0,28.4375,15.720844341463044,25.0,1.0,45.0
Q6_VisitOtherMuseums,48.0,27.625,15.087863235769225,25.0,1.0,44.0
Q7_RecommendFriends,48.0,27.916666666666668,15.161307602807561,32.0,3.0,42.0
AvgGeneralRating,48.0,28.58375,10.740366217655788,30.285,7.43,46.57
