ID,Braque_Duration,Braque_Rank,Braque_SaccadeRate,Braque_Engagement,Janco_Duration,Janco_Rank,Janco_SaccadeRate,Janco_Engagement,Klimt_Duration,Klimt_Rank,Klimt_SaccadeRate,Klimt_Engagement,Picasso_Duration,Picasso_Rank,Picasso_SaccadeRate,Picasso_Engagement,Pollock_Duration,Pollock_Rank,Pollock_SaccadeRate,Pollock_Engagement,de Chirico_Duration,de Chirico_Rank,de Chirico_SaccadeRate,de Chirico_Engagement,van Dongen_Duration,van Dongen_Rank,van Dongen_SaccadeRate,van Dongen_Engagement
101,68.3,4,0.7,Moderate Engagement,68.05,15,1.62,Low Engagement,78.35,11,0.77,Moderate Engagement,47.73,29,0.88,Moderate Engagement,59.88,23,0.75,Moderate Engagement,43.18,14,0.49,High Engagement,69.25,8,0.81,Moderate Engagement
102,49.2,29,0.55,Moderate Engagement,66.43,17,0.54,Moderate Engagement,65.87,37,1.05,Moderate Engagement,54.18,22,0.5,High Engagement,37.33,35,1.12,Moderate Engagement,44.9,9,1.29,Moderate Engagement,39.38,34,1.65,Low Engagement
103,60.15,14,0.43,High Engagement,61.85,25,1.26,Moderate Engagement,70.48,30,0.47,High Engagement,55.08,18,0.56,Moderate Engagement,66.68,15,0.3,High Engagement,44.65,10,0.58,Moderate Engagement,62.07,18,0.32,High Engagement
104,52.37,27,0.52,Moderate Engagement,102.32,1,0.37,High Engagement,78.22,14,0.28,High Engagement,55.83,12,0.43,High Engagement,72.48,5,0.19,High Engagement,48.7,5,0.6,Moderate Engagement,62.85,16,0.24,High Engagement
105,28.57,39,2.94,Low Engagement,35.78,39,3.13,Low Engagement,49.02,39,2.41,Low Engagement,49.08,28,1.32,Moderate Engagement,36.72,37,1.96,Low Engagement,27.6,36,3.44,Low Engagement,28.68,37,3.7,Low Engagement
106,51.45,28,0.64,Moderate Engagement,56.28,31,0.68,Moderate Engagement,73.88,24,0.45,High Engagement,49.12,27,0.75,Moderate Engagement,69.33,11,0.17,High Engagement,43.63,12,0.5,High Engagement,60.67,20,0.28,High Engagement
107,47.6,31,0.9,Moderate Engagement,55.98,32,2.05,Low Engagement,76.2,21,0.64,Moderate Engagement,46.73,31,0.88,Moderate Engagement,63.23,19,1.0,Moderate Engagement,36.22,29,0.61,Moderate Engagement,68.08,11,0.98,Moderate Engagement
108,41.53,36,0.72,Moderate Engagement,63.07,23,1.9,Low Engagement,78.32,13,0.5,High Engagement,57.47,8,0.97,Moderate Engagement,61.75,21,0.63,Moderate Engagement,27.25,37,1.25,Moderate Engagement,51.77,29,1.06,Moderate Engagement
110,46.23,34,0.32,High Engagement,51.43,37,0.62,Moderate Engagement,80.08,9,0.72,Moderate Engagement,49.18,26,0.26,High Engagement,55.05,26,0.84,Moderate Engagement,36.13,30,0.33,High Engagement,51.13,30,0.25,High Engagement
111,55.65,22,0.31,High Engagement,64.82,21,0.35,High Engagement,89.08,1,0.31,High Engagement,61.02,2,0.1,High Engagement,47.37,34,0.32,High Engagement,33.38,33,0.42,High Engagement,75.65,2,0.28,High Engagement
112,46.72,33,0.94,Moderate Engagement,65.92,19,1.71,Low Engagement,72.55,27,1.67,Low Engagement,54.42,21,0.24,High Engagement,53.25,28,1.31,Moderate Engagement,49.53,4,0.71,Moderate Engagement,51.1,31,0.84,Moderate Engagement
113,57.0,18,0.63,Moderate Engagement,60.7,26,0.46,High Engagement,67.92,32,0.4,High Engagement,39.98,36,0.28,High Engagement,51.67,29,0.64,Moderate Engagement,44.02,11,0.55,Moderate Engagement,53.37,25,0.58,Moderate Engagement
