,FocusedObject,DurationInSeconds
0,Demo Piece 2,82.2
1,Pollock,59.85
2,van Dongen,55.45
3,Klimt,49.98
4,back_wall,45.03
5,Picasso,33.6
6,Demo Piece 4,32.58
7,Demo Piece 3,31.8
8,Janco,26.08
9,de Chirico,25.18
10,back_wall__1_,10.55
11,Press,7.28
12,back_wall__2_,3.12
13,Arrow Pointer,0.93
14,Seahorse Exhibit Display,0.72
15,Seahorse exhibit,0.68
16,Fossil fish exhibit 2,0.33
17,Fossil fish exhibit table,0.32
18,Leaves Exhibit Display,0.25
19,Fossil fish exhibit 2 table 2,0.17
20,Barrier_Rope__1__2,0.08
21,Barrier_Rope_2,0.03
22,Barrier_Rope__2__3,0.02
23,Braque,0.02
24,Barrier_Rope__2__1,0.02
25,Overall time,624.78
