Metric,TourType,SpearmanRho,p-value,N
GazePercent_Audio,2,0.218,0.0208,112
ReactionTime,3,-0.192,0.043,112
SaccadeRate,2,0.168,0.0766,112
GazeTime,2,0.148,0.1204,112
SaccadeRate,1,-0.129,0.1766,112
TileTimePercent_Audio,3,-0.129,0.1767,112
TileTimePercent_Audio,1,0.12,0.2081,112
TimeAtTheTile,1,-0.111,0.2428,112
SaccadeRate,3,-0.093,0.3318,112
TimeAtTheTile,2,0.076,0.4255,112
GazeTime,3,0.071,0.4581,112
GazePercent_Audio,1,0.048,0.6158,112
TimeAtTheTile,3,-0.034,0.7182,112
GazePercent_Audio,3,0.034,0.723,112
ReactionTime,1,0.023,0.8076,112
GazeTime,1,-0.013,0.8933,112
TileTimePercent_Audio,2,0.009,0.9277,112
ReactionTime,2,0.002,0.9829,112
