Metric,TourType,SpearmanRho,p-value,N
Q5_VisitAgainThisMuseum,1,0.918,0.0,16
Q5_VisitAgainThisMuseum,2,0.896,0.0,16
Q5_VisitAgainThisMuseum,3,0.946,0.0,16
Q6_VisitOtherMuseums,1,0.938,0.0,16
Q7_RecommendFriends,1,0.842,0.0,16
Q4_WantMoreExplanations,1,0.823,0.0001,16
Q6_VisitOtherMuseums,3,0.833,0.0001,16
Q7_RecommendFriends,3,0.806,0.0002,16
Q1_SatisfactionTour,3,0.792,0.0003,16
Q2_SatisfactionExplanations,1,0.79,0.0003,16
Q4_WantMoreExplanations,2,0.782,0.0003,16
Q6_VisitOtherMuseums,2,0.791,0.0003,16
Q1_SatisfactionTour,1,0.698,0.0026,16
Q7_RecommendFriends,2,0.674,0.0042,16
AvgSelfReportedLiking,1,0.588,0.0165,16
Q1_SatisfactionTour,2,0.588,0.0165,16
AvgSaccadeRate,1,-0.521,0.0387,16
AvgGazeTime,2,-0.478,0.0612,16
Q2_SatisfactionExplanations,2,0.477,0.0619,16
AvgGazeTime,1,0.471,0.0658,16
AvgGazePercent_Audio,1,0.424,0.1021,16
Engagement_High,2,-0.421,0.1041,16
AvgSpeed,3,-0.413,0.1117,16
TimeStill,3,0.409,0.1159,16
AvgSaccadeRate,2,0.351,0.1825,16
TotalDistance,3,-0.349,0.1855,16
Q2_SatisfactionExplanations,3,0.346,0.1888,16
Q4_WantMoreExplanations,3,0.338,0.2002,16
TimeMoving,3,-0.321,0.226,16
AvgSelfReportedLiking,2,0.319,0.2291,16
Q3_VisitDuration,2,0.315,0.2347,16
AvgSpeed,1,-0.289,0.2782,16
Q3_VisitDuration,3,0.281,0.2924,16
TotalExperimentTime,1,-0.271,0.3108,16
Q3_VisitDuration,1,0.253,0.3449,16
Engagement_Low,1,-0.25,0.3513,16
Engagement_Moderate,1,0.25,0.3513,16
TimeMoving,1,-0.238,0.3743,16
TotalDistance,1,-0.235,0.3804,16
Engagement_Low,2,0.228,0.3967,16
Engagement_Moderate,2,-0.228,0.3967,16
TotalExperimentTime,3,-0.203,0.451,16
AvgGazePercent_Audio,2,-0.201,0.4563,16
Engagement_Low,3,-0.164,0.5439,16
Engagement_Moderate,3,0.164,0.5439,16
AvgSelfReportedLiking,3,0.147,0.5868,16
TimeMoving,2,-0.124,0.6476,16
TotalExperimentTime,2,-0.106,0.6955,16
AvgGazePercent_Audio,3,0.079,0.77,16
TimeStill,1,0.071,0.795,16
TimeStill,2,0.065,0.8113,16
AvgGazeTime,3,0.059,0.8287,16
AvgSaccadeRate,3,-0.044,0.8711,16
TotalDistance,2,-0.032,0.905,16
AvgSpeed,2,-0.007,0.9781,16
Engagement_High,1,,,16
Engagement_High,3,,,16
