Measure,mean,median,std,min,max
AvgSelfReportedLiking Active,27.75,28.36,7.51,13.0,40.71
AvgSelfReportedLiking Semi-Active,28.95,29.22,7.88,16.07,44.5
AvgSelfReportedLiking Passive,27.94,27.25,8.34,12.86,41.93
AvgGazeTime Active,51.06,53.74,12.24,28.32,68.03
AvgGazeTime Semi-Active,53.91,56.55,11.07,20.61,68.11
AvgGazeTime Passive,58.68,58.88,7.22,39.82,68.74
AvgGazePercent_Audio Active,72.08,76.24,15.33,42.25,91.11
AvgGazePercent_Audio Semi-Active,74.32,78.94,15.76,26.22,91.55
AvgGazePercent_Audio Passive,80.33,80.85,10.09,54.61,94.35
AvgSaccadeRate Active,9.34,7.96,4.39,5.06,24.35
AvgSaccadeRate Semi-Active,8.39,8.2,1.65,4.74,12.25
AvgSaccadeRate Passive,8.84,9.2,1.48,6.15,11.64
Engagement_High Active,0.0,0.0,0.0,0.0,0.0
Engagement_High Semi-Active,0.06,0.0,0.25,0.0,1.0
Engagement_High Passive,0.0,0.0,0.0,0.0,0.0
Engagement_Moderate Active,0.62,0.0,1.41,0.0,5.0
Engagement_Moderate Semi-Active,0.31,0.0,0.79,0.0,3.0
Engagement_Moderate Passive,0.25,0.0,0.68,0.0,2.0
Engagement_Low Active,6.38,7.0,1.41,2.0,7.0
Engagement_Low Semi-Active,6.62,7.0,1.02,3.0,7.0
Engagement_Low Passive,6.75,7.0,0.68,5.0,7.0
TotalExperimentTime Active,670.77,658.49,53.68,601.06,767.86
TotalExperimentTime Semi-Active,662.73,639.81,77.19,586.38,851.53
TotalExperimentTime Passive,614.64,597.6,58.17,550.63,787.17
AvgSpeed Active,0.11,0.1,0.03,0.07,0.18
AvgSpeed Semi-Active,0.1,0.1,0.02,0.07,0.15
AvgSpeed Passive,0.09,0.09,0.03,0.06,0.17
TotalDistance Active,78.84,65.13,30.92,48.89,137.65
TotalDistance Semi-Active,68.93,63.9,19.61,41.83,103.84
TotalDistance Passive,59.35,55.52,21.29,35.59,114.02
TimeStill Active,137.86,130.05,56.44,61.96,259.4
TimeStill Semi-Active,171.12,164.12,64.88,63.12,271.18
TimeStill Passive,142.48,127.48,56.24,41.04,253.76
TimeMoving Active,555.65,556.39,112.89,396.74,817.88
TimeMoving Semi-Active,504.66,497.7,95.27,374.82,701.78
TimeMoving Passive,485.37,470.96,108.53,325.5,795.46
Q1_SatisfactionTour Active,24.75,22.0,15.09,1.0,44.0
Q1_SatisfactionTour Semi-Active,28.44,22.0,15.53,1.0,44.0
Q1_SatisfactionTour Passive,30.19,33.0,15.22,7.0,44.0
Q2_SatisfactionExplanations Active,27.81,26.0,15.57,1.0,45.0
Q2_SatisfactionExplanations Semi-Active,30.31,35.5,16.37,3.0,45.0
Q2_SatisfactionExplanations Passive,26.75,26.0,14.66,3.0,45.0
Q3_VisitDuration Active,30.56,28.5,15.0,4.0,50.0
Q3_VisitDuration Semi-Active,31.19,38.0,11.75,19.0,50.0
Q3_VisitDuration Passive,27.31,28.5,17.92,4.0,55.0
Q4_WantMoreExplanations Active,22.94,25.0,15.65,1.0,49.0
Q4_WantMoreExplanations Semi-Active,28.38,32.0,16.88,9.0,49.0
Q4_WantMoreExplanations Passive,32.12,32.0,14.67,9.0,49.0
Q5_VisitAgainThisMuseum Active,25.56,25.0,17.46,1.0,45.0
Q5_VisitAgainThisMuseum Semi-Active,31.31,35.0,15.17,9.0,45.0
Q5_VisitAgainThisMuseum Passive,28.44,25.0,14.9,3.0,45.0
Q6_VisitOtherMuseums Active,20.31,25.0,14.91,1.0,44.0
Q6_VisitOtherMuseums Semi-Active,33.69,44.0,13.09,6.0,44.0
Q6_VisitOtherMuseums Passive,28.88,25.0,14.89,6.0,44.0
Q7_RecommendFriends Active,23.38,22.0,15.94,3.0,42.0
Q7_RecommendFriends Semi-Active,31.81,42.0,14.4,3.0,42.0
Q7_RecommendFriends Passive,28.56,32.0,14.84,3.0,42.0
AvgGeneralRating Active,25.39,29.75,12.05,7.79,43.5
AvgGeneralRating Semi-Active,31.08,32.75,10.26,7.43,43.5
AvgGeneralRating Passive,29.28,29.82,9.64,9.29,46.57
