ParticipantID,Painting,TimeAtTheTile,TileTimePercent_Audio,SelfReportedLiking,GazeTime,GazePercent_Audio,SaccadeRate,EngagementLevel,ReactionTime
135,Klimt,101.3,116.4,51.5,78.24,86.58,14.38,low,3.99
135,Pollock,101.8,116.64,30.0,77.52,88.52,8.87,low,9.89
135,van Dongen,94.03,116.41,51.0,70.58,86.75,7.46,low,5.39
135,Braque,86.1,115.27,37.5,65.1,86.85,8.84,low,7.56
135,de Chirico,65.34,134.32,29.0,45.92,93.75,7.67,low,8.99
135,Janco,81.29,124.6,43.5,55.84,84.76,10.99,low,1.87
135,Picasso,67.18,111.78,51.0,53.2,88.55,8.84,low,1.56
132,Klimt,106.53,122.41,38.5,88.68,98.46,11.36,low,8.53
132,Pollock,131.49,150.65,14.0,61.58,69.56,7.93,low,6.46
132,van Dongen,96.19,119.08,41.0,65.48,80.21,6.84,low,7.89
132,Braque,86.42,115.7,23.5,63.24,83.29,6.84,low,8.12
132,de Chirico,63.23,129.97,14.0,43.92,89.02,7.4,low,8.09
132,Janco,81.25,124.53,43.5,64.8,97.15,9.37,low,1.7
132,Picasso,66.76,111.07,20.5,54.86,89.81,6.97,low,1.55
157,Klimt,102.08,117.28,51.5,81.36,90.85,14.97,low,4.27
157,Pollock,104.1,119.27,42.0,69.46,79.39,8.6,low,1.31
157,van Dongen,91.73,113.56,51.0,62.3,75.53,9.67,low,4.61
157,Braque,82.39,110.31,53.0,61.68,81.76,9.04,low,4.86
157,de Chirico,62.42,128.32,29.0,45.0,91.86,8.62,low,8.08
157,Janco,73.76,113.04,24.5,58.16,86.11,10.99,low,3.19
157,Picasso,68.93,114.69,37.5,56.96,93.21,9.3,low,1.53
150,Klimt,102.45,117.71,20.0,59.6,66.84,13.26,low,9.01
150,Pollock,103.13,118.16,42.0,18.14,18.43,5.15,low,6.23
150,van Dongen,88.85,109.99,14.0,12.1,14.61,9.91,low,4.51
150,Braque,82.08,109.88,46.0,10.4,13.77,9.68,low,6.43
150,de Chirico,64.27,132.14,46.5,5.7,10.53,10.12,low,11.96
150,Janco,134.44,206.06,24.5,24.94,37.09,12.03,low,2.68
150,Picasso,66.01,109.82,4.5,13.38,22.24,12.82,low,2.04
159,Klimt,124.07,142.57,20.0,67.9,76.78,16.06,low,28.92
159,Pollock,113.14,129.63,30.0,11.34,17.1,8.58,low,11.79
159,van Dongen,96.91,119.98,3.5,17.22,21.01,11.22,low,6.49
