ParticipantID,TourType,AvgSelfReportedLiking,AvgGazeTime,AvgGazePercent_Audio,AvgFI_Valence,AvgAudio_Valence,AvgAudio_DominantIntensity,AvgSaccadeRate,Engagement_High,Engagement_Moderate,Engagement_Low,NumPaintings_JoyOrSurprise,TotalExperimentTime,AvgSpeed,TotalDistance,TimeStill,TimeMoving,Q1_SatisfactionTour,Q2_SatisfactionExplanations,Q3_VisitDuration,Q4_WantMoreExplanations,Q5_VisitAgainThisMuseum,Q6_VisitOtherMuseums,Q7_RecommendFriends,AvgGeneralRating
106,3,25.86,54.87,83.23,-6.13,-2.86,4.98,9.49,0,0,7,0,582.39,0.12,72.22,41.04,545.46,22,26,38,18,14,12,22,22.14
107,2,28.71,58.58,80.38,9.33,0.68,11.66,8.31,0,0,7,7,586.38,0.11,64.91,143.52,445.98,44,45,38,9,25,25,10,28.29
108,2,28.86,49.75,66.38,-1.54,-17.38,20.23,9.83,0,0,7,0,615.5,0.13,90.57,63.12,659.98,22,45,38,32,45,44,22,35.79
110,2,31.36,51.43,69.3,8.3,0.9,6.31,8.56,0,0,7,3,633.15,0.07,41.83,262.94,374.82,44,45,19,49,45,44,42,41.5
111,2,29.57,60.19,79.76,0.0,-7.95,8.5,12.25,0,0,7,0,642.58,0.1,66.69,80.32,569.38,7,11,19,18,9,25,10,14.36
112,3,21.07,57.01,78.48,4.57,-1.08,12.64,10.58,0,0,7,2,683.55,0.17,114.02,91.18,598.46,44,45,19,32,25,25,22,30.64
113,1,29.14,55.33,77.6,8.46,1.83,5.97,5.06,0,5,2,5,601.06,0.11,63.84,88.68,517.0,22,45,50,32,25,25,10,30.21
114,1,32.93,32.13,42.25,0.0,0.22,0.44,24.35,0,0,7,7,645.01,0.09,59.8,259.4,396.74,22,26,38,32,45,25,22,30.36
116,1,22.5,28.32,51.79,11.94,13.49,28.6,12.62,0,0,7,7,765.5,0.18,137.65,119.46,648.66,1,1,50,3,1,3,3,9.07
118,1,40.07,66.5,91.11,0.0,0.57,1.74,6.69,0,1,6,7,623.63,0.08,53.06,215.38,413.86,44,45,19,49,45,44,42,41.5
119,2,44.5,52.77,87.4,11.83,0.87,5.0,9.51,0,0,7,3,637.53,0.09,60.91,247.1,398.52,44,45,50,32,45,44,42,43.5
120,3,20.57,60.43,74.27,-8.03,-5.21,6.04,7.26,0,0,7,0,787.17,0.1,93.66,122.32,795.46,7,26,50,32,9,6,3,19.36
121,2,16.07,41.87,57.69,10.01,-0.61,12.91,7.15,0,1,6,6,807.23,0.13,103.84,234.72,577.14,22,26,38,9,25,44,42,29.86
122,3,29.5,58.57,79.8,10.62,-14.83,18.51,9.15,0,0,7,1,638.54,0.09,56.01,121.94,522.2,22,45,38,32,25,12,22,28.43
123,2,31.14,60.63,84.01,6.28,-5.35,13.99,7.59,0,0,7,2,627.65,0.08,48.99,210.08,423.18,22,45,38,32,14,44,22,31.43
125,1,30.64,68.03,89.31,3.38,0.15,1.86,6.86,0,0,7,4,666.66,0.1,66.42,121.36,549.92,44,26,19,49,45,25,42,36.07
126,3,12.86,68.69,93.72,-5.82,4.3,26.33,7.35,0,0,7,4,573.16,0.06,35.59,253.76,325.5,44,45,38,9,45,44,42,38.43
127,1,31.64,64.41,85.91,-7.81,-4.48,5.0,7.89,0,0,7,1,662.71,0.08,56.02,178.32,489.0,44,26,19,32,45,25,22,30.79
128,2,19.0,59.07,82.47,-3.52,-8.13,8.73,7.77,0,0,7,0,643.06,0.1,62.88,133.38,514.3,44,11,50,32,45,25,42,35.93
129,3,32.5,54.56,74.58,-6.0,-0.64,11.58,8.27,0,0,7,2,550.63,0.07,37.23,174.22,380.54,22,11,19,9,25,44,42,25.0
130,1,23.71,44.49,88.42,0.0,0.67,1.44,8.02,0,0,7,7,644.37,0.1,67.08,162.18,486.8,22,26,50,32,25,25,22,29.29
131,2,21.14,46.79,65.69,0.69,2.99,8.18,7.47,0,0,7,7,677.59,0.15,103.02,157.42,524.78,7,11,38,49,45,44,42,34.07
132,3,27.86,63.22,86.79,-3.18,-3.24,5.37,8.1,0,0,7,0,631.86,0.07,41.94,231.48,409.0,7,26,19,32,9,12,10,16.79
133,1,28.93,40.21,54.32,-1.58,-3.32,3.96,10.46,0,0,7,1,679.15,0.12,86.22,169.68,575.62,22,45,19,1,14,6,10,17.14
134,2,34.5,57.78,78.12,12.75,3.78,25.83,7.3,0,0,7,7,602.1,0.09,52.49,170.82,436.4,22,26,19,18,9,12,22,18.64
135,3,41.93,63.77,87.97,-25.62,-23.22,23.96,9.58,0,0,7,0,597.03,0.07,43.68,180.2,422.44,44,45,55,49,45,44,42,46.57
136,2,36.93,68.11,91.55,-1.59,-5.68,16.63,8.89,0,0,7,2,851.53,0.11,95.02,156.36,701.78,44,26,19,9,25,25,42,27.5
137,1,18.86,55.81,74.88,-2.93,-0.4,0.85,7.0,0,3,4,2,654.27,0.07,48.89,182.98,477.4,22,11,19,9,9,6,3,11.64
138,3,14.14,55.23,75.18,-5.41,-1.67,5.51,11.64,0,0,7,4,611.46,0.12,71.2,115.52,503.04,7,3,19,9,3,12,10,9.29
139,1,40.71,52.16,74.06,-3.66,-7.8,12.63,9.57,0,0,7,1,767.86,0.14,104.87,78.36,697.1,44,11,19,9,3,3,10,14.5
141,2,25.21,54.56,73.99,3.02,2.09,25.11,8.1,0,0,7,7,649.35,0.08,51.7,173.36,481.1,22,45,38,9,25,25,42,29.71
142,3,32.64,66.2,90.86,6.9,-1.0,15.06,6.15,0,2,5,7,599.89,0.09,55.04,109.26,494.74,44,26,38,32,25,25,22,30.71
144,1,27.79,61.8,85.08,-12.71,-20.58,35.07,7.2,0,1,6,1,696.01,0.09,60.46,138.74,562.86,44,45,50,32,45,44,42,43.5
146,1,27.29,48.43,63.98,-6.96,-4.64,11.43,8.67,0,0,7,3,645.59,0.14,94.18,84.94,566.76,22,45,38,32,45,44,42,38.64
147,2,31.5,55.32,74.74,-2.01,-3.84,10.04,7.98,0,1,6,3,618.99,0.13,78.46,82.28,541.32,22,11,38,49,45,44,42,36.29
148,1,23.79,58.7,78.2,23.56,14.74,50.39,7.78,0,0,7,7,698.88,0.14,130.84,100.68,817.88,7,26,38,18,25,12,42,24.36
149,2,17.43,64.63,87.39,-7.72,-5.57,6.08,4.74,1,3,3,0,642.08,0.08,54.85,271.18,390.44,1,3,19,9,9,6,3,7.43
150,2,28.21,20.61,26.22,-1.82,1.16,7.82,10.42,0,0,7,6,601.16,0.1,57.61,137.44,467.34,44,45,19,49,45,44,42,41.5
151,3,26.07,53.29,71.74,-1.47,1.36,26.41,9.71,0,0,7,2,578.97,0.08,44.17,144.84,439.74,44,11,38,32,45,44,42,37.0
152,1,13.0,57.24,78.54,15.8,13.19,17.71,9.47,0,0,7,7,601.62,0.08,50.69,170.28,437.44,7,11,19,1,3,1,10,7.79
153,3,24.93,39.82,54.61,21.68,9.91,38.23,9.61,0,0,7,7,660.63,0.11,72.52,132.64,531.6,22,11,50,49,45,44,42,38.0
154,1,34.07,47.6,65.61,-0.87,-2.02,6.77,7.64,0,0,7,3,625.31,0.08,52.99,61.96,567.96,22,45,38,18,25,25,42,31.0
155,2,39.14,60.43,83.97,13.63,9.5,28.81,8.42,0,0,7,7,767.84,0.09,69.09,213.9,568.04,44,45,19,49,45,44,42,41.5
157,3,41.21,62.13,85.53,15.81,9.96,38.3,10.17,0,0,7,7,585.41,0.1,60.34,74.92,516.62,22,26,4,49,25,25,10,23.43
158,3,26.64,53.13,72.22,1.18,-4.55,9.79,9.24,0,0,7,2,598.16,0.07,44.66,189.92,413.36,44,45,4,32,45,44,42,36.93
159,1,19.0,35.79,52.23,16.86,6.5,23.88,10.16,0,0,7,7,754.73,0.17,128.38,73.4,685.46,7,11,4,18,9,12,10,10.43
164,3,34.43,59.19,81.91,12.85,7.45,24.22,8.48,0,0,7,7,558.53,0.1,56.01,115.46,447.18,44,11,4,49,25,25,42,29.0
165,3,34.79,68.74,94.35,0.77,3.79,19.71,6.66,0,2,5,5,596.92,0.09,51.32,180.96,420.58,44,26,4,49,45,44,42,36.71
