ID,Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,Please rate your satisfaction with the explanations about the artworks.,Was the duration of the visit to your liking?,Would you like to hear more explanations of this kind about other works in the collection?,Would you like to visit the museum again with such a guide?,Would you like to visit other museums with similar guidance?,Would you recommend your friends to visit the collection accompanied by this type of audio guide?,Klimt,van Dongen,Braque,Pollock,de Chirico,Janco,Picasso
101,6,5,4,3,5,5,5,5,6,3,3,7,5,5
102,6,5,5,5,4,4,6,5,5,4,2,5,6,6
103,6,6,4,6,5,5,6,5,7,5,6,5,7,6
104,6,5,5,4,5,6,6,6,7,3,2,6,4,5
105,6,4,4,2,4,5,5,5,6,3,4,7,1,6
106,6,6,5,5,5,5,6,5,5,4,5,6,5,6
107,7,7,5,4,6,6,5,7,7,4,4,2,1,7
108,6,7,5,6,7,7,6,5,4,4,7,6,7,5
109,7,7,4,7,7,7,7,7,7,3,2,5,3,7
110,7,7,4,7,7,7,7,7,6,6,5,4,6,5
111,5,5,4,5,4,6,5,6,7,3,3,6,7,5
112,7,7,4,6,6,6,6,5,4,4,6,5,5,5
113,6,7,6,6,6,6,5,5,7,4,6,7,5,3
114,6,6,5,6,7,6,6,4,5,7,6,7,7,4
116,3,3,6,3,2,3,4,5,2,5,2,6,6,6
118,7,7,4,7,7,7,7,7,5,5,6,7,6,7
119,7,7,6,6,7,7,7,6,5,7,7,7,7,7
120,5,6,6,6,4,4,4,4,5,6,2,6,4,5
121,6,6,5,4,6,7,7,5,5,2,5,4,3,5
122,6,7,5,6,6,5,6,4,2,7,7,6,6,6
123,6,7,5,6,5,7,6,7,7,4,3,5,7,5
124,5,6,4,2,3,3,5,4,5,3,1,6,6,5
125,7,6,4,7,7,6,7,6,4,5,3,7,7,5
126,7,7,5,4,7,7,7,1,6,4,2,3,5,1
127,7,6,4,6,7,6,6,5,4,6,3,7,7,6
128,7,5,6,6,7,6,7,5,4,2,2,5,6,7
129,6,5,4,4,6,7,7,5,7,4,2,7,7,6
130,6,6,6,6,6,6,6,6,3,4,4,7,6,2
131,5,5,5,7,7,7,7,4,5,2,3,5,7,6
132,5,6,4,6,4,5,5,6,6,4,3,5,7,5
133,6,7,4,2,5,4,5,5,6,6,7,6,5,1
134,6,6,4,5,4,5,6,6,4,4,6,6,7,7
135,7,7,7,7,7,7,7,7,7,5,5,6,7,7
136,7,6,4,4,6,6,7,6,5,6,7,5,7,6
137,6,5,4,4,4,4,4,6,2,2,5,2,7,4
138,5,4,4,4,3,5,5,2,2,2,5,5,4,6
139,7,5,4,4,3,3,5,4,7,7,7,7,6,7
140,6,5,4,4,5,6,6,6,5,4,3,7,5,4
141,6,7,5,4,6,6,7,5,2,6,7,7,3,2
142,7,6,5,6,6,6,6,6,5,5,5,5,7,6
143,6,4,4,3,4,7,7,5,5,5,5,6,6,6
144,7,7,6,6,7,7,7,7,6,4,6,4,6,6
145,7,5,4,4,4,4,5,7,3,3,4,6,6,2
146,6,7,5,6,7,7,7,7,3,4,5,6,7,6
147,6,5,5,7,7,7,7,6,6,5,3,5,6,7
