Question,mean,std,median,min,max
Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,6.13,0.94,6.0,3.0,7.0
Please rate your satisfaction with the explanations about the artworks.,5.96,1.02,6.0,3.0,7.0
Was the duration of the visit to your liking?,4.49,0.98,4.0,3.0,7.0
Would you like to hear more explanations of this kind about other works in the collection?,5.49,1.29,6.0,2.0,7.0
Would you like to visit the museum again with such a guide?,5.76,1.37,6.0,2.0,7.0
Would you like to visit other museums with similar guidance?,5.87,1.28,6.0,2.0,7.0
Would you recommend your friends to visit the collection accompanied by this type of audio guide?,6.07,1.12,6.0,2.0,7.0
Klimt,5.31,1.25,5.0,1.0,7.0
van Dongen,4.93,1.49,5.0,2.0,7.0
Braque,4.38,1.46,4.0,2.0,7.0
Pollock,4.56,1.73,5.0,1.0,7.0
de Chirico,5.71,1.33,6.0,2.0,7.0
Janco,5.8,1.48,6.0,1.0,7.0
Picasso,5.15,1.57,5.0,1.0,7.0
Preferred image,1.47,0.5,1.0,1.0,2.0
Preferred image.1,1.38,0.49,1.0,1.0,2.0
Preferred image.2,1.87,0.34,2.0,1.0,2.0
Preferred image.3,1.55,0.5,2.0,1.0,2.0
Preferred image.4,1.56,0.5,2.0,1.0,2.0
Preferred image.5,1.64,0.49,2.0,1.0,2.0
Preferred image.6,1.75,0.44,2.0,1.0,2.0
Preferred image.7,1.4,0.49,1.0,1.0,2.0
Preferred image.8,1.47,0.5,1.0,1.0,2.0
Preferred image.9,1.55,0.5,2.0,1.0,2.0
Preferred image.10,1.35,0.48,1.0,1.0,2.0
Preferred image.11,1.47,0.5,1.0,1.0,2.0
