Question,H-stat,p-value
Type,45.43,0.0
Please rate how much you liked the artwork..2,5.149,0.0762
Please rate how much you liked the artwork..6,2.976,0.2258
Would you recommend your friends to visit the collection accompanied by this type of audio guide?,2.961,0.2276
Please rate how much you liked the artwork..4,2.666,0.2637
Would you like to visit other museums with similar guidance?,2.366,0.3063
Please rate how much you liked the artwork.,0.738,0.6916
Please rate how much you liked the artwork..3,0.631,0.7293
Please rate how much you liked the artwork..5,0.489,0.7832
Would you like to hear more explanations of this kind about other works in the collection?,0.428,0.8072
Was the duration of the visit to your liking?,0.336,0.8452
Please rate your satisfaction with the explanations about the artworks.,0.332,0.847
Please rate how much you liked the artwork..1,0.304,0.8588
Would you like to visit the museum again with such a guide?,0.303,0.8592
Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,0.098,0.9521
