Question,H-stat,p-value
Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,1.075,0.5843
Please rate your satisfaction with the explanations about the artworks.,0.458,0.7955
Was the duration of the visit to your liking?,0.464,0.7931
Would you like to hear more explanations of this kind about other works in the collection?,2.714,0.2575
Would you like to visit the museum again with such a guide?,1.078,0.5833
Would you like to visit other museums with similar guidance?,6.514,0.0385
Would you recommend your friends to visit the collection accompanied by this type of audio guide?,2.506,0.2856
Klimt,2.349,0.309
van Dongen,3.877,0.1439
Braque,0.388,0.8238
Pollock,1.482,0.4766
de Chirico,4.92,0.0855
Janco,0.128,0.938
Picasso,2.426,0.2972
