Metric,TourType,SpearmanRho,p-value,N
GazePercent_Audio,2,0.23,0.0145,112
Audio_AvgValence,3,-0.228,0.037,84
Audio_AvgValence,1,-0.203,0.0375,105
FI_MaxIntensity,1,-0.206,0.0379,102
FI_MaxIntensity,2,0.194,0.0406,112
SaccadeRate,2,0.19,0.0447,112
Audio_DominantEmotionIntensity,1,-0.194,0.0468,105
FI_Valence,1,-0.176,0.0771,102
Audio_DominantEmotionIntensity,2,0.157,0.0973,112
GazeTime,2,0.154,0.1058,112
FI_MaxIntensity,3,0.166,0.1317,84
SaccadeRate,3,-0.164,0.1364,84
TileTimePercent_Audio,1,0.146,0.1368,105
Audio_AvgValence,2,0.132,0.1651,112
ReactionTime,3,-0.141,0.1997,84
TileTimePercent_Audio,3,-0.136,0.219,84
TimeAtTheTile,1,-0.097,0.3262,105
SaccadeRate,1,-0.085,0.391,105
FI_Valence,2,0.071,0.4544,112
TimeAtTheTile,2,0.07,0.4622,112
TimeAtTheTile,3,-0.064,0.5618,84
ReactionTime,1,0.048,0.6294,105
FI_Valence,3,-0.051,0.6448,84
ReactionTime,2,0.037,0.698,112
GazeTime,1,-0.034,0.7274,105
GazePercent_Audio,3,-0.033,0.7658,84
GazePercent_Audio,1,0.028,0.7747,105
Audio_DominantEmotionIntensity,3,0.032,0.7756,84
TileTimePercent_Audio,2,0.021,0.8293,112
GazeTime,3,0.009,0.9322,84
