Metric,H-stat,p-value
TotalExperimentTime,6.084,0.0477
Q6_VisitOtherMuseums,5.526,0.0631
AvgAudio_DominantIntensity,3.37,0.1854
NumPaintings_JoyOrSurprise,3.105,0.2117
AvgFI_Valence,2.822,0.2439
Q7_RecommendFriends,2.005,0.367
TimeStill,1.915,0.3838
TotalDistance,1.884,0.3898
TimeMoving,1.692,0.4291
Engagement_High,1.687,0.4301
Engagement_Moderate,1.474,0.4786
Engagement_Low,1.447,0.485
AvgGazeTime,1.447,0.4851
AvgSpeed,1.353,0.5083
AvgSelfReportedLiking,1.293,0.5238
AvgSaccadeRate,1.275,0.5286
AvgGeneralRating,1.193,0.5506
Q4_WantMoreExplanations,1.016,0.6016
AvgGazePercent_Audio,0.951,0.6215
Q5_VisitAgainThisMuseum,0.936,0.6263
Q3_VisitDuration,0.674,0.7138
AvgAudio_Valence,0.574,0.7505
Q2_SatisfactionExplanations,0.398,0.8197
Q1_SatisfactionTour,0.213,0.8992
