Metric,TourType,SpearmanRho,p-value,N
Q5_VisitAgainThisMuseum,1,0.872,0.0,15
Q5_VisitAgainThisMuseum,2,0.897,0.0,16
Q5_VisitAgainThisMuseum,3,0.963,0.0,12
Q6_VisitOtherMuseums,1,0.955,0.0,15
Q4_WantMoreExplanations,1,0.833,0.0001,15
Q7_RecommendFriends,1,0.812,0.0002,15
AvgAudio_DominantIntensity,3,0.867,0.0003,12
Q2_SatisfactionExplanations,1,0.793,0.0004,15
Q4_WantMoreExplanations,2,0.769,0.0005,16
Q1_SatisfactionTour,3,0.838,0.0007,12
Q6_VisitOtherMuseums,2,0.757,0.0007,16
Q7_RecommendFriends,3,0.822,0.001,12
Q6_VisitOtherMuseums,3,0.807,0.0015,12
Q7_RecommendFriends,2,0.675,0.0041,16
Q1_SatisfactionTour,2,0.61,0.0122,16
Q1_SatisfactionTour,1,0.617,0.0142,15
AvgSaccadeRate,1,-0.55,0.0337,15
Q3_VisitDuration,3,0.57,0.0529,12
Q2_SatisfactionExplanations,2,0.486,0.0564,16
AvgSelfReportedLiking,1,0.496,0.0598,15
AvgGazeTime,2,-0.462,0.0716,16
Engagement_High,2,-0.422,0.1038,16
AvgGazeTime,1,0.421,0.1177,15
AvgAudio_Valence,1,-0.407,0.132,15
Q4_WantMoreExplanations,3,0.441,0.1512,12
AvgFI_Valence,1,-0.384,0.1582,15
AvgGazePercent_Audio,1,0.375,0.1684,15
AvgSaccadeRate,2,0.357,0.1744,16
Q2_SatisfactionExplanations,3,0.398,0.1998,12
Q3_VisitDuration,2,0.33,0.2123,16
AvgSpeed,3,-0.371,0.2351,12
AvgSelfReportedLiking,2,0.307,0.2474,16
AvgAudio_Valence,3,0.343,0.2756,12
TimeStill,3,0.336,0.2861,12
Engagement_Low,1,-0.287,0.2999,15
Engagement_Low,2,0.277,0.2999,16
Engagement_Moderate,1,0.287,0.2999,15
Engagement_Moderate,2,-0.277,0.2999,16
NumPaintings_JoyOrSurprise,3,0.313,0.3217,12
AvgAudio_Valence,2,0.261,0.3284,16
TimeMoving,3,-0.287,0.3663,12
TotalExperimentTime,3,-0.273,0.3911,12
AvgAudio_DominantIntensity,2,-0.221,0.4099,16
TotalExperimentTime,1,-0.221,0.4277,15
TotalDistance,3,-0.252,0.4299,12
Q3_VisitDuration,1,0.2,0.4753,15
AvgSelfReportedLiking,3,0.224,0.4845,12
AvgGazePercent_Audio,2,-0.183,0.4975,16
AvgGazePercent_Audio,3,0.203,0.5273,12
NumPaintings_JoyOrSurprise,1,-0.17,0.5456,15
AvgFI_Valence,2,0.159,0.5554,16
TimeMoving,2,-0.139,0.6083,16
AvgSpeed,1,-0.143,0.6108,15
AvgGazeTime,3,0.161,0.6175,12
TimeMoving,1,-0.129,0.6479,15
NumPaintings_JoyOrSurprise,2,0.124,0.6483,16
TotalDistance,1,-0.118,0.6757,15
AvgFI_Valence,3,0.133,0.6806,12
Engagement_Low,3,-0.131,0.6848,12
Engagement_Moderate,3,0.131,0.6848,12
TimeStill,1,-0.104,0.7134,15
TotalExperimentTime,2,-0.093,0.732,16
AvgAudio_DominantIntensity,1,-0.089,0.7517,15
TimeStill,2,0.063,0.8154,16
TotalDistance,2,-0.063,0.8154,16
AvgSpeed,2,-0.039,0.8864,16
AvgSaccadeRate,3,0.014,0.9656,12
Engagement_High,1,,,15
Engagement_High,3,,,12
