Painting,Metric,TourType,SpearmanRho,p-value,N
Braque,SelfReportedLiking,All,0.518,0.0004,43
Braque,SelfReportedLiking,Type 1.0,0.603,0.0174,15
Braque,SaccadeRate,Type 1.0,0.477,0.0722,15
Braque,SelfReportedLiking,Type 2.0,0.448,0.0821,16
Braque,ReactionTime,Type 2.0,0.434,0.0929,16
Braque,SelfReportedLiking,Type 3.0,0.5,0.0979,12
Braque,TileTimePercent_Audio,Type 2.0,0.399,0.1253,16
Braque,TimeAtTheTile,Type 2.0,0.399,0.1253,16
Braque,GazeTime,Type 1.0,-0.409,0.1306,15
Braque,SaccadeRate,All,0.224,0.1479,43
Braque,Audio_DominantEmotionIntensity,Type 1.0,-0.363,0.1834,15
Braque,FI_Valence,Type 3.0,0.408,0.1885,12
Braque,FI_MaxIntensity,Type 3.0,0.4,0.1975,12
Braque,Audio_AvgValence,All,-0.2,0.1982,43
Braque,Audio_AvgValence,Type 3.0,-0.393,0.2063,12
Braque,GazeTime,Type 2.0,0.313,0.2381,16
Braque,ReactionTime,All,0.178,0.2522,43
Braque,Audio_DominantEmotionIntensity,Type 2.0,0.261,0.3298,16
Braque,FI_MaxIntensity,Type 1.0,-0.27,0.33,15
Braque,Audio_AvgValence,Type 2.0,-0.226,0.4004,16
Braque,GazePercent_Audio,Type 2.0,0.226,0.4004,16
Braque,FI_Valence,Type 2.0,-0.22,0.414,16
Braque,GazePercent_Audio,Type 1.0,-0.227,0.416,15
Braque,TileTimePercent_Audio,Type 1.0,-0.227,0.416,15
Braque,TimeAtTheTile,Type 1.0,-0.227,0.416,15
Braque,TileTimePercent_Audio,All,0.119,0.4473,43
Braque,TimeAtTheTile,All,0.119,0.4473,43
Braque,ReactionTime,Type 3.0,-0.218,0.4954,12
Braque,SaccadeRate,Type 2.0,0.156,0.5632,16
Braque,Audio_AvgValence,Type 1.0,-0.136,0.6284,15
Braque,FI_MaxIntensity,All,-0.065,0.6767,43
Braque,Audio_DominantEmotionIntensity,Type 3.0,0.131,0.6848,12
Braque,TileTimePercent_Audio,Type 3.0,-0.131,0.6848,12
Braque,TimeAtTheTile,Type 3.0,-0.131,0.6848,12
Braque,GazePercent_Audio,All,0.059,0.7047,43
Braque,FI_MaxIntensity,Type 2.0,-0.06,0.8257,16
Braque,FI_Valence,Type 1.0,-0.054,0.8483,15
Braque,GazeTime,All,0.024,0.8769,43
Braque,FI_Valence,All,0.024,0.8779,43
Braque,GazePercent_Audio,Type 3.0,0.044,0.8928,12
Braque,GazeTime,Type 3.0,0.044,0.8928,12
Braque,SaccadeRate,Type 3.0,0.044,0.8928,12
Braque,Audio_DominantEmotionIntensity,All,0.0,1.0,43
Braque,ReactionTime,Type 1.0,0.0,1.0,15
Janco,SelfReportedLiking,All,0.381,0.0116,43
Janco,FI_MaxIntensity,All,-0.366,0.0158,43
Janco,FI_Valence,Type 2.0,-0.587,0.0168,16
Janco,SaccadeRate,Type 2.0,0.492,0.0527,16
Janco,SelfReportedLiking,Type 3.0,0.559,0.0587,12
Janco,FI_MaxIntensity,Type 1.0,-0.479,0.071,15
Janco,SelfReportedLiking,Type 2.0,0.413,0.1123,16
Janco,GazeTime,Type 3.0,0.435,0.1581,12
Janco,ReactionTime,Type 1.0,-0.347,0.2048,15
Janco,GazePercent_Audio,Type 3.0,0.386,0.2149,12
Janco,Audio_DominantEmotionIntensity,All,-0.171,0.2739,43
Janco,GazeTime,Type 2.0,-0.287,0.2812,16
Janco,ReactionTime,Type 2.0,0.287,0.2812,16
Janco,TileTimePercent_Audio,Type 2.0,0.287,0.2812,16
Janco,TimeAtTheTile,Type 2.0,0.287,0.2812,16
Janco,FI_MaxIntensity,Type 2.0,-0.286,0.2827,16
Janco,FI_MaxIntensity,Type 3.0,-0.29,0.3602,12
Janco,SaccadeRate,Type 3.0,-0.29,0.3611,12
Janco,FI_Valence,All,-0.14,0.3698,43
Janco,TileTimePercent_Audio,Type 1.0,-0.231,0.4065,15
Janco,TimeAtTheTile,Type 1.0,-0.231,0.4065,15
Janco,Audio_AvgValence,Type 1.0,-0.195,0.487,15
Janco,Audio_DominantEmotionIntensity,Type 1.0,-0.195,0.487,15
Janco,SaccadeRate,Type 1.0,-0.193,0.491,15
Janco,ReactionTime,Type 3.0,-0.218,0.4968,12
Janco,SelfReportedLiking,Type 1.0,0.186,0.5074,15
Janco,Audio_DominantEmotionIntensity,Type 2.0,-0.178,0.5104,16
Janco,GazePercent_Audio,Type 2.0,-0.178,0.5104,16
Janco,GazePercent_Audio,All,0.079,0.6124,43
Janco,Audio_AvgValence,Type 3.0,0.145,0.6533,12
Janco,GazeTime,All,0.062,0.6927,43
Janco,TileTimePercent_Audio,All,-0.058,0.7111,43
Janco,TimeAtTheTile,All,-0.058,0.7111,43
Janco,Audio_AvgValence,All,0.054,0.7295,43
Janco,SaccadeRate,All,0.047,0.767,43
Janco,Audio_AvgValence,Type 2.0,-0.041,0.8802,16
Janco,Audio_DominantEmotionIntensity,Type 3.0,-0.048,0.8816,12
Janco,TileTimePercent_Audio,Type 3.0,-0.048,0.8816,12
Janco,TimeAtTheTile,Type 3.0,-0.048,0.8816,12
Janco,GazePercent_Audio,Type 1.0,0.039,0.8914,15
Janco,GazeTime,Type 1.0,0.039,0.8914,15
Janco,ReactionTime,All,0.014,0.9312,43
Janco,FI_Valence,Type 1.0,0.023,0.9353,15
Janco,FI_Valence,Type 3.0,0.0,1.0,12
Klimt,GazePercent_Audio,Type 1.0,0.724,0.0023,15
Klimt,GazeTime,Type 1.0,0.724,0.0023,15
Klimt,SaccadeRate,Type 1.0,-0.535,0.0397,15
Klimt,ReactionTime,Type 3.0,-0.585,0.0455,12
Klimt,FI_Valence,Type 3.0,-0.549,0.0644,12
Klimt,GazePercent_Audio,Type 2.0,0.47,0.0664,16
Klimt,GazeTime,All,0.281,0.0678,43
Klimt,SelfReportedLiking,All,0.275,0.074,43
Klimt,GazePercent_Audio,All,0.266,0.0845,43
Klimt,ReactionTime,Type 2.0,0.407,0.1176,16
Klimt,FI_Valence,Type 1.0,0.398,0.1413,15
Klimt,SaccadeRate,Type 2.0,-0.376,0.1515,16
Klimt,TileTimePercent_Audio,Type 2.0,0.376,0.1515,16
Klimt,TimeAtTheTile,Type 2.0,0.376,0.1515,16
Klimt,SaccadeRate,All,-0.217,0.1613,43
Klimt,GazePercent_Audio,Type 3.0,-0.418,0.1762,12
Klimt,GazeTime,Type 2.0,0.344,0.1914,16
Klimt,TileTimePercent_Audio,Type 3.0,-0.362,0.247,12
Klimt,TimeAtTheTile,Type 3.0,-0.362,0.247,12
Klimt,SelfReportedLiking,Type 3.0,0.341,0.2788,12
Klimt,GazeTime,Type 3.0,-0.307,0.3324,12
Klimt,Audio_AvgValence,Type 3.0,-0.251,0.4316,12
Klimt,FI_Valence,Type 2.0,0.201,0.4562,16
Klimt,TileTimePercent_Audio,Type 1.0,0.189,0.5,15
Klimt,TimeAtTheTile,Type 1.0,0.189,0.5,15
Klimt,Audio_DominantEmotionIntensity,All,0.099,0.5262,43
Klimt,SelfReportedLiking,Type 1.0,0.168,0.5499,15
Klimt,FI_Valence,All,0.093,0.5535,43
Klimt,TileTimePercent_Audio,All,0.086,0.5825,43
Klimt,TimeAtTheTile,All,0.086,0.5825,43
Klimt,Audio_AvgValence,All,-0.084,0.5907,43
Klimt,Audio_DominantEmotionIntensity,Type 1.0,0.142,0.614,15
Klimt,SelfReportedLiking,Type 2.0,0.133,0.6243,16
Klimt,ReactionTime,All,0.071,0.6499,43
Klimt,SaccadeRate,Type 3.0,0.139,0.6657,12
Klimt,FI_MaxIntensity,Type 1.0,0.098,0.7293,15
Klimt,Audio_AvgValence,Type 1.0,-0.079,0.7801,15
Klimt,Audio_DominantEmotionIntensity,Type 3.0,-0.084,0.7961,12
