Question,SpearmanRho,p-value,N
Would you like to visit other museums with similar guidance?,-0.216,0.1642,43
Preferred image.1,-0.198,0.2042,43
van Dongen,-0.189,0.2238,43
Klimt,-0.129,0.4083,43
Braque,0.116,0.4581,43
de Chirico,0.107,0.4965,43
Would you like to visit the museum again with such a guide?,-0.087,0.5795,43
Preferred image,0.067,0.6672,43
Pollock,0.051,0.7447,43
Would you like to hear more explanations of this kind about other works in the collection?,-0.041,0.7942,43
Janco,-0.041,0.7958,43
Picasso,-0.031,0.8458,43
Would you recommend your friends to visit the collection accompanied by this type of audio guide?,-0.029,0.8532,43
Was the duration of the visit to your liking?,-0.028,0.86,43
