Feature,SpearmanRho,p_value
AvgGeneralRating,0.651,0.0
Q5_VisitAgainThisMuseum,0.596,0.0
Q7_RecommendFriends,0.49,0.0009
Q2_SatisfactionExplanations,0.47,0.0015
Q6_VisitOtherMuseums,0.466,0.0016
AvgSelfReportedLiking,0.461,0.0019
Q4_WantMoreExplanations,0.358,0.0186
AvgGazePercent_Audio,0.344,0.024
Engagement_High,-0.273,0.0766
AvgGazeTime,0.253,0.101
AvgSpeed,-0.203,0.1926
TotalDistance,-0.195,0.2093
TimeMoving,-0.149,0.3401
TimeStill,0.128,0.4132
TotalExperimentTime,-0.103,0.5091
AvgAudio_Valence,-0.089,0.5689
AvgFI_Valence,-0.084,0.594
AvgAudio_DominantIntensity,0.07,0.6537
TourType,0.044,0.7808
AvgSaccadeRate,-0.037,0.8125
Q3_VisitDuration,-0.031,0.8425
NumPaintings_JoyOrSurprise,-0.012,0.9416
Engagement_Low,0.011,0.9432
Engagement_Moderate,-0.009,0.9531
