,ParticipantID,Type,Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,Please rate your satisfaction with the explanations about the artworks.,Was the duration of the visit to your liking?,Would you like to hear more explanations of this kind about other works in the collection?,Would you like to visit the museum again with such a guide?,Would you like to visit other museums with similar guidance?,Would you recommend your friends to visit the collection accompanied by this type of audio guide?,Klimt,van Dongen,Braque,Pollock,de Chirico,Janco,Picasso,Preferred image,Preferred image.1,Preferred image.2,Preferred image.3,Preferred image.4,Preferred image.5,Preferred image.6,Preferred image.7,Preferred image.8,Preferred image.9,Preferred image.10,Preferred image.11
0,106,3,18.5,20.5,27.5,17.0,13.0,11.5,18.5,18.0,22.5,19.0,23.0,25.0,11.0,28.0,1,1,2,1,2,1,2,2,1,1,1,2
1,107,2,36.0,35.5,27.5,9.0,20.5,21.0,9.5,41.5,40.5,19.0,16.5,1.5,1.0,40.0,1,2,2,2,1,1,2,1,2,2,1,1
2,108,2,18.5,35.5,27.5,27.5,35.5,36.0,18.5,18.0,12.0,19.0,41.0,25.0,35.0,15.5,1,1,2,1,2,2,2,2,2,2,2,2
3,110,2,36.0,35.5,10.5,40.0,35.5,36.0,34.0,41.5,32.5,37.0,23.0,5.0,20.0,15.5,1,1,2,2,1,1,1,1,1,1,1,2
4,111,2,6.0,9.5,10.5,17.0,8.5,21.0,9.5,32.5,40.5,9.5,11.5,25.0,35.0,15.5,1,2,2,1,2,2,2,1,1,2,2,2
5,112,3,36.0,35.5,10.5,27.5,20.5,21.0,18.5,18.0,12.0,19.0,33.0,12.5,11.0,15.5,2,2,2,2,1,2,2,1,2,2,1,1
6,113,1,18.5,35.5,39.5,27.5,20.5,21.0,9.5,18.0,40.5,19.0,33.0,38.0,11.0,7.0,1,2,2,2,2,2,1,1,1,2,1,1
7,114,1,18.5,20.5,27.5,27.5,35.5,21.0,18.5,6.5,22.5,42.5,33.0,38.0,35.0,9.0,2,1,1,2,2,2,1,2,1,1,2,2
8,116,1,1.5,1.0,39.5,3.0,1.0,3.0,3.5,18.0,3.0,30.0,4.0,25.0,20.0,28.0,2,1,2,2,1,1,2,2,2,1,1,1
9,118,1,36.0,35.5,10.5,40.0,35.5,36.0,34.0,41.5,22.5,30.0,33.0,38.0,20.0,40.0,2,1,2,1,2,1,2,1,1,2,2,1
10,119,2,36.0,35.5,39.5,27.5,35.5,36.0,34.0,32.5,22.5,42.5,41.0,38.0,35.0,40.0,2,1,2,1,2,2,2,1,2,2,2,2
11,120,3,6.0,20.5,39.5,27.5,8.5,6.5,3.5,6.5,22.5,37.0,4.0,25.0,6.0,15.5,2,2,2,1,2,1,2,2,2,2,2,1
12,121,2,18.5,20.5,27.5,9.0,20.5,36.0,34.0,18.0,22.5,4.0,23.0,5.0,3.0,15.5,1,1,2,1,1,2,1,1,1,2,2,1
13,122,3,18.5,35.5,27.5,27.5,20.5,11.5,18.5,6.5,3.0,42.5,41.0,25.0,20.0,28.0,2,1,1,2,1,1,2,1,2,2,1,1
14,123,2,18.5,35.5,27.5,27.5,13.0,36.0,18.5,41.5,40.5,19.0,11.5,12.5,35.0,15.5,1,2,2,1,1,2,2,1,1,2,2,2
15,125,1,36.0,20.5,10.5,40.0,35.5,21.0,34.0,32.5,12.0,30.0,11.5,38.0,35.0,15.5,1,1,2,2,1,2,2,1,1,1,1,2
16,126,3,36.0,35.5,27.5,9.0,35.5,36.0,34.0,1.0,32.5,19.0,4.0,3.0,11.0,1.5,2,2,2,1,2,2,2,2,1,2,1,1
17,127,1,36.0,20.5,10.5,27.5,35.5,21.0,18.5,18.0,12.0,37.0,11.5,38.0,35.0,28.0,1,1,2,2,2,2,1,1,1,2,2,1
18,128,2,36.0,9.5,39.5,27.5,35.5,21.0,34.0,18.0,12.0,4.0,4.0,12.5,20.0,40.0,1,1,2,1,1,1,2,2,2,1,2,2
