X,Y,rho,p,N,X_N,X_Mean,X_SD,X_Median,X_Min,X_Max,Y_N,Y_Mean,Y_SD,Y_Median,Y_Min,Y_Max,TourType
GazeTime,SelfReportedLiking,-0.012814382478914683,0.8933244588560391,112,112.0,51.06017857142857,19.853533508184828,51.5,6.0,96.1,112.0,27.754464285714285,15.607516602111929,27.5,1.5,53.0,1
GazePercent_Audio,SelfReportedLiking,0.047930247089210676,0.6157771692385567,112,112.0,72.08035714285714,20.601476590505293,77.895,17.1,99.8,112.0,27.754464285714285,15.607516602111929,27.5,1.5,53.0,1
SaccadeRate,SelfReportedLiking,-0.12860995784110804,0.17655762244390127,112,112.0,9.339642857142858,4.966148276091713,7.885,3.25,27.84,112.0,27.754464285714285,15.607516602111929,27.5,1.5,53.0,1
ReactionTime,SelfReportedLiking,0.023264086823277644,0.8076375457014836,112,112.0,7.774464285714286,9.268206804343674,5.695,1.54,74.06,112.0,27.754464285714285,15.607516602111929,27.5,1.5,53.0,1
TimeAtTheTile,SelfReportedLiking,-0.11128154472346478,0.2427610125089378,112,112.0,87.45598214285714,22.755384412209477,86.545,57.33,185.59,112.0,27.754464285714285,15.607516602111929,27.5,1.5,53.0,1
TileTimePercent_Audio,SelfReportedLiking,0.1198496499792503,0.20814497772205026,112,112.0,120.93124999999999,14.844461103403194,116.275,107.47,212.67,112.0,27.754464285714285,15.607516602111929,27.5,1.5,53.0,1
GazeTime,SelfReportedLiking,0.14758592138615556,0.12044767666140477,112,112.0,53.90624999999999,18.756225254853675,55.269999999999996,5.7,94.56,112.0,28.955357142857142,16.084875327018057,27.5,1.0,53.0,2
GazePercent_Audio,SelfReportedLiking,0.21815477081942808,0.02084732118805372,112,112.0,74.31482142857143,20.201512296531764,81.125,10.53,99.08,112.0,28.955357142857142,16.084875327018057,27.5,1.0,53.0,2
SaccadeRate,SelfReportedLiking,0.16801574324499205,0.0765981828314568,112,112.0,8.393928571428571,2.6474357327073985,7.6850000000000005,2.65,15.9,112.0,28.955357142857142,16.084875327018057,27.5,1.0,53.0,2
ReactionTime,SelfReportedLiking,0.0020434534304613217,0.9829399033308718,112,112.0,12.519464285714283,16.00507131563408,6.61,1.11,63.41,112.0,28.955357142857142,16.084875327018057,27.5,1.0,53.0,2
TimeAtTheTile,SelfReportedLiking,0.07604198212312253,0.42552111510073043,112,112.0,99.19000000000001,35.4894148157442,90.695,59.69,268.14,112.0,28.955357142857142,16.084875327018057,27.5,1.0,53.0,2
TileTimePercent_Audio,SelfReportedLiking,0.00866588031301053,0.9277437670818969,112,112.0,138.36008928571428,41.30756265412411,119.65,107.02,307.22,112.0,28.955357142857142,16.084875327018057,27.5,1.0,53.0,2
GazeTime,SelfReportedLiking,0.07081890610167411,0.45808659015848996,112,112.0,58.67857142857143,17.27224085772035,57.58,5.06,109.84,112.0,27.9375,15.372715533791773,28.25,1.0,53.0,3
GazePercent_Audio,SelfReportedLiking,0.033866440685310424,0.7229719590563672,112,112.0,80.3269642857143,15.491734956507518,84.35499999999999,7.82,98.9,112.0,27.9375,15.372715533791773,28.25,1.0,53.0,3
SaccadeRate,SelfReportedLiking,-0.09254305217115352,0.33180679235415056,112,112.0,8.840535714285714,2.551290024968896,8.5,4.36,17.03,112.0,27.9375,15.372715533791773,28.25,1.0,53.0,3
ReactionTime,SelfReportedLiking,-0.19162382632040592,0.042969873485354394,112,112.0,7.099017857142856,10.766556072270088,4.95,0.01,74.74,112.0,27.9375,15.372715533791773,28.25,1.0,53.0,3
TimeAtTheTile,SelfReportedLiking,-0.03447379231658735,0.7182110422858721,112,112.0,87.80642857142857,28.834279769619528,84.05000000000001,55.62,286.8,112.0,27.9375,15.372715533791773,28.25,1.0,53.0,3
TileTimePercent_Audio,SelfReportedLiking,-0.1285689705267712,0.17669670541155513,112,112.0,121.8175,29.230504198109138,114.72999999999999,106.93,328.6,112.0,27.9375,15.372715533791773,28.25,1.0,53.0,3
