X,Y,rho,p,N,X_N,X_Mean,X_SD,X_Median,X_Min,X_Max,Y_N,Y_Mean,Y_SD,Y_Median,Y_Min,Y_Max
AvgSelfReportedLiking,AvgGeneralRating,0.32571398746100777,0.02387562430879258,48,48.0,28.21541666666667,7.765946109240728,28.785,12.86,44.5,48.0,28.58375,10.740366217655788,30.285,7.43,46.57
AvgGazeTime,AvgGeneralRating,0.05937288082748338,0.6885244191980733,48,48.0,54.548333333333325,10.660494047338206,56.41,20.61,68.74,48.0,28.58375,10.740366217655788,30.285,7.43,46.57
AvgGazePercent_Audio,AvgGeneralRating,0.12986943055334904,0.37897932541385326,48,48.0,75.57479166666667,14.11220069536683,78.34,26.22,94.35,48.0,28.58375,10.740366217655788,30.285,7.43,46.57
AvgSaccadeRate,AvgGeneralRating,-0.1389401723475111,0.34628968169289986,48,48.0,8.857708333333333,2.806240947165104,8.365,4.74,24.35,48.0,28.58375,10.740366217655788,30.285,7.43,46.57
TotalExperimentTime,AvgGeneralRating,-0.15555013316695027,0.2910970247675899,48,48.0,649.3829166666666,67.2933042086065,638.035,550.63,851.53,48.0,28.58375,10.740366217655788,30.285,7.43,46.57
TotalDistance,AvgGeneralRating,-0.2275491450990305,0.11984275696885027,48,48.0,69.03875000000001,25.24431594965404,60.685,35.59,137.65,48.0,28.58375,10.740366217655788,30.285,7.43,46.57
AvgSpeed,AvgGeneralRating,-0.2385164917255263,0.10255516464839716,48,48.0,0.1025,0.02862077804970041,0.1,0.06,0.18,48.0,28.58375,10.740366217655788,30.285,7.43,46.57
TimeStill,AvgGeneralRating,0.23460109089507578,0.10849182833878193,48,48.0,150.4875,59.92036014222935,144.18,41.04,271.18,48.0,28.58375,10.740366217655788,30.285,7.43,46.57
TimeMoving,AvgGeneralRating,-0.24214785128258226,0.09727552825195522,48,48.0,515.2266666666666,107.80145416722067,508.66999999999996,325.5,817.88,48.0,28.58375,10.740366217655788,30.285,7.43,46.57
Engagement_High,AvgGeneralRating,-0.24750972819570655,0.0898670734583609,48,48.0,0.020833333333333332,0.14433756729740643,0.0,0.0,1.0,48.0,28.58375,10.740366217655788,30.285,7.43,46.57
Engagement_Moderate,AvgGeneralRating,0.046433913143796815,0.7539823568671274,48,48.0,0.3958333333333333,1.005084591196678,0.0,0.0,5.0,48.0,28.58375,10.740366217655788,30.285,7.43,46.57
Engagement_Low,AvgGeneralRating,-0.046032298816737746,0.7560445217669091,48,48.0,6.583333333333333,1.068570995129105,7.0,2.0,7.0,48.0,28.58375,10.740366217655788,30.285,7.43,46.57
