Metric,N,Mean,Std,Median,Min,Max
ParticipantID,48,134.062,16.633,133.500,106.000,165.000
TourType,48,2.000,0.825,2.000,1.000,3.000
AvgSelfReportedLiking,48,28.215,7.766,28.785,12.860,44.500
AvgGazeTime,48,54.548,10.660,56.410,20.610,68.740
AvgGazePercent_Audio,48,75.575,14.112,78.340,26.220,94.350
AvgSaccadeRate,48,8.858,2.806,8.365,4.740,24.350
Engagement_High,48,0.021,0.144,0.000,0.000,1.000
Engagement_Moderate,48,0.396,1.005,0.000,0.000,5.000
Engagement_Low,48,6.583,1.069,7.000,2.000,7.000
TotalExperimentTime,48,649.383,67.293,638.035,550.630,851.530
AvgSpeed,48,0.102,0.029,0.100,0.060,0.180
TotalDistance,48,69.039,25.244,60.685,35.590,137.650
TimeStill,48,49.278,23.481,45.220,10.060,99.980
TimeMoving,48,616.437,90.635,596.470,484.880,887.440
Q1_SatisfactionTour,48,27.792,15.125,22.000,1.000,44.000
Q2_SatisfactionExplanations,48,28.292,15.291,26.000,1.000,45.000
Q3_VisitDuration,48,29.688,14.877,38.000,4.000,55.000
Q4_WantMoreExplanations,48,27.812,15.882,32.000,1.000,49.000
Q5_VisitAgainThisMuseum,48,28.438,15.721,25.000,1.000,45.000
Q6_VisitOtherMuseums,48,27.625,15.088,25.000,1.000,44.000
Q7_RecommendFriends,48,27.917,15.161,32.000,3.000,42.000
AvgGeneralRating,48,28.584,10.740,30.285,7.430,46.570
