Participant,Painting,GazeTime,GazePercent,FirstImpressionValence
135,Pollock,79.06,88.52,-20.76
135,Braque,66.48,86.85,0.0
135,Picasso,62.12,88.55,-20.3
135,de Chirico,51.52,93.75,-33.85
135,van Dongen,76.52,86.75,-31.64
135,Janco,76.34,84.76,-35.85
135,Klimt,82.32,86.58,-36.93
132,Pollock,64.08,69.56,0.0
132,Braque,64.1,83.29,-11.33
132,Picasso,65.12,89.81,0.0
132,de Chirico,44.76,89.02,-10.94
132,van Dongen,67.68,80.21,0.0
132,Janco,87.36,97.15,0.0
132,Klimt,92.86,98.46,0.0
104,Pollock,87.24,94.27,11.08
104,Braque,56.3,63.77,0.0
104,Picasso,56.5,80.16,0.0
104,de Chirico,41.8,81.49,0.0
104,van Dongen,78.14,87.79,0.0
104,Janco,110.9,95.19,0.0
104,Klimt,94.64,93.47,17.57
103,Pollock,80.12,88.04,1.16
103,Braque,65.72,85.67,-17.47
103,Picasso,64.48,89.71,0.0
103,de Chirico,44.02,88.32,10.84
103,van Dongen,78.58,86.48,-10.97
103,Janco,82.88,94.3,-11.12
103,Klimt,85.78,93.06,-13.63
150,Pollock,21.94,18.43,-11.32
150,Braque,16.58,13.77,0.0
150,Picasso,30.96,22.24,0.0
150,de Chirico,10.26,10.53,-0.45
150,van Dongen,24.22,14.61,0.0
150,Janco,37.32,37.09,0.0
150,Klimt,79.08,66.84,-1.0
102,Pollock,44.82,45.79,12.96
102,Braque,47.78,53.42,0.0
102,Picasso,60.62,83.42,-60.11
102,de Chirico,36.28,59.36,0.0
102,van Dongen,47.08,41.16,0.0
102,Janco,80.4,89.08,12.4
102,Klimt,114.2,69.52,-12.4
105,Pollock,44.06,42.42,24.24
105,Braque,33.96,34.37,21.58
105,Picasso,46.96,47.64,-22.35
105,de Chirico,23.9,31.06,21.88
105,van Dongen,31.92,20.71,0.0
105,Janco,46.8,23.28,-7.75
105,Klimt,58.84,52.78,34.28
133,Pollock,59.28,60.74,0.0
133,Braque,36.86,42.05,0.0
133,Picasso,37.02,48.17,0.0
133,de Chirico,35.0,62.11,0.0
133,van Dongen,30.74,26.08,0.0
133,Janco,68.06,56.0,0.0
133,Klimt,101.28,85.1,-11.03
134,Pollock,67.06,71.33,15.79
134,Braque,58.18,67.78,23.08
134,Picasso,57.98,82.02,-8.54
134,de Chirico,34.48,65.63,22.96
134,van Dongen,77.02,83.75,0.0
134,Janco,71.08,86.6,20.98
134,Klimt,96.18,89.7,15.0
151,Pollock,69.74,74.65,19.13
151,Braque,38.92,47.59,-7.79
151,Picasso,62.18,73.07,-14.86
151,de Chirico,34.58,69.31,4.09
151,van Dongen,73.94,77.07,0.0
151,Janco,74.2,66.7,-10.86
151,Klimt,89.64,93.77,0.0
145,Pollock,50.94,46.62,0.0
145,Braque,53.28,70.93,0.0
145,Picasso,62.44,89.28,-12.86
145,de Chirico,32.86,65.9,-13.23
145,van Dongen,74.88,87.89,0.0
145,Janco,74.18,97.24,0.0
145,Klimt,80.5,87.17,10.8
142,Pollock,85.62,94.82,15.66
142,Braque,69.78,85.35,3.77
142,Picasso,66.58,89.18,21.24
142,de Chirico,45.42,89.3,-10.09
142,van Dongen,74.18,85.49,0.0
142,Janco,93.58,97.55,0.0
142,Klimt,87.28,94.3,17.73
129,Pollock,74.62,83.75,0.0
129,Braque,45.12,59.58,0.0
129,Picasso,49.38,69.44,0.0
129,de Chirico,41.6,80.91,-1.22
129,van Dongen,67.36,76.67,-12.02
129,Janco,60.06,65.53,-22.86
129,Klimt,86.28,86.19,-5.9
116,Pollock,27.9,23.61,11.15
116,Braque,26.08,25.84,-4.27
116,Picasso,58.64,71.07,17.71
116,de Chirico,33.68,55.3,15.15
116,van Dongen,30.06,23.11,16.26
116,Janco,78.04,80.16,6.78
116,Klimt,104.76,83.45,20.78
111,Pollock,56.84,61.98,0.0
111,Braque,50.86,59.52,0.0
111,Picasso,72.02,94.07,0.0
111,de Chirico,36.48,71.62,0.0
111,van Dongen,81.7,87.87,0.0
111,Janco,82.48,86.63,0.0
111,Klimt,106.9,96.6,0.0
118,Pollock,83.78,90.6,0.0
118,Braque,68.02,81.84,0.0
118,Picasso,68.92,98.07,0.0
118,de Chirico,49.9,95.89,0.0
118,van Dongen,79.32,82.07,0.0
118,Janco,93.44,94.63,0.0
118,Klimt,97.4,94.64,0.0
127,Pollock,90.32,95.85,-26.45
127,Braque,67.48,80.02,0.0
127,Picasso,51.1,73.63,0.0
127,de Chirico,45.92,85.69,0.0
127,van Dongen,79.22,85.51,-28.21
127,Janco,93.22,82.34,0.0
127,Klimt,99.18,98.3,0.0
120,Pollock,111.9,86.34,0.0
120,Braque,62.82,83.66,0.0
120,Picasso,17.12,7.82,0.0
120,de Chirico,38.98,77.55,-10.3
120,van Dongen,68.26,75.75,0.0
120,Janco,76.14,90.93,-25.82
120,Klimt,92.42,97.84,-20.07
144,Pollock,73.96,79.74,-16.11
144,Braque,58.96,61.03,-11.9
144,Picasso,75.74,99.8,0.0
144,de Chirico,49.56,90.91,-37.07
144,van Dongen,74.22,72.73,-27.71
144,Janco,93.42,96.63,0.0
144,Klimt,116.6,94.71,3.84
121,Pollock,44.08,41.23,11.11
121,Braque,71.46,77.28,17.93
121,Picasso,58.96,82.46,28.58
121,de Chirico,35.94,63.1,0.0
121,van Dongen,33.94,26.36,0.0
121,Janco,53.28,50.32,0.0
121,Klimt,81.2,63.11,12.44
119,Pollock,84.1,87.03,41.34
119,Braque,68.66,83.07,-11.11
119,Picasso,60.02,83.52,-10.64
119,de Chirico,47.22,87.75,11.18
119,van Dongen,84.18,87.74,0.0
119,Janco,75.46,92.18,10.59
119,Klimt,94.78,90.51,41.44
126,Pollock,85.64,94.75,0.0
126,Braque,69.8,89.74,-13.81
126,Picasso,61.96,87.95,0.0
126,de Chirico,46.3,91.12,-15.58
126,van Dongen,83.62,96.71,0.0
126,Janco,82.78,97.36,-11.33
126,Klimt,92.52,98.41,0.0
110,Pollock,66.08,63.97,14.46
110,Braque,54.4,57.86,0.0
110,Picasso,53.86,76.0,0.0
110,de Chirico,43.22,82.93,0.0
110,van Dongen,63.9,57.43,18.7
110,Janco,58.98,61.85,11.03
110,Klimt,96.1,85.06,13.88
128,Pollock,60.76,63.03,0.0
128,Braque,63.98,78.87,0.0
128,Picasso,65.98,95.77,0.0
128,de Chirico,41.84,79.02,-24.65
128,van Dongen,73.18,73.82,0.0
128,Janco,82.96,96.6,0.0
128,Klimt,87.96,90.16,0.0
131,Pollock,59.1,61.93,25.58
131,Braque,62.02,73.35,0.0
131,Picasso,45.72,57.82,0.0
131,de Chirico,44.36,85.49,-10.03
131,van Dongen,21.84,12.82,-10.7
131,Janco,69.34,78.32,0.0
131,Klimt,93.04,90.09,0.0
136,Pollock,110.28,94.16,1.83
136,Braque,83.46,92.58,-4.38
136,Picasso,70.0,95.01,-0.67
136,de Chirico,49.58,95.06,-10.68
136,van Dongen,85.66,88.11,0.0
136,Janco,82.72,88.14,0.0
136,Klimt,98.62,87.77,2.76
109,Pollock,63.14,68.67,18.94
109,Braque,52.5,67.45,19.98
109,Picasso,54.44,83.09,23.4
109,de Chirico,43.18,75.33,22.3
109,van Dongen,47.04,50.09,0.0
109,Janco,58.0,75.28,11.86
109,Klimt,72.68,74.26,19.01
107,Pollock,75.88,81.48,0.0
107,Braque,54.8,64.43,0.0
107,Picasso,51.04,75.73,0.0
107,de Chirico,42.56,82.93,0.0
107,van Dongen,83.14,83.41,37.8
107,Janco,65.34,82.92,11.02
107,Klimt,91.44,91.77,16.48
138,Pollock,59.62,63.6,0.0
138,Braque,51.96,66.12,0.0
138,Picasso,61.02,84.16,0.0
138,de Chirico,35.6,65.61,0.0
138,van Dongen,65.68,74.2,-10.62
138,Janco,72.0,82.0,-27.26
138,Klimt,86.72,90.55,0.0
152,Pollock,85.64,90.4,22.44
152,Braque,58.2,67.38,17.0
152,Picasso,58.08,82.89,11.71
152,de Chirico,42.48,81.74,45.03
152,van Dongen,63.14,61.76,0.0
152,Janco,72.78,76.13,0.0
152,Klimt,89.4,89.45,14.45
106,Pollock,83.2,92.28,-20.09
106,Braque,58.92,77.48,0.0
106,Picasso,56.7,82.16,0.0
106,de Chirico,44.46,85.85,0.0
106,van Dongen,74.82,83.95,0.0
106,Janco,60.22,71.7,-22.81
106,Klimt,90.46,89.17,0.0
139,Pollock,71.04,72.13,0.0
139,Braque,72.4,75.3,0.0
139,Picasso,51.8,67.98,0.0
139,de Chirico,49.12,85.11,0.0
139,van Dongen,73.84,69.81,0.0
139,Janco,85.0,70.13,-20.24
139,Klimt,87.26,77.96,-5.41
101,Pollock,71.86,76.3,-14.96
101,Braque,72.5,80.8,14.48
101,Picasso,45.92,60.12,3.54
101,de Chirico,44.68,73.77,14.26
101,van Dongen,72.84,62.63,-14.02
101,Janco,81.12,86.38,0.0
101,Klimt,95.88,90.83,24.57
137,Pollock,77.86,79.23,-20.52
137,Braque,62.8,68.43,0.0
137,Picasso,59.06,84.35,0.0
137,de Chirico,24.74,45.17,0.0
137,van Dongen,76.44,78.28,0.0
137,Janco,81.22,88.96,0.0
137,Klimt,81.22,79.75,0.0
108,Pollock,74.14,74.15,0.0
108,Braque,43.92,44.59,0.0
108,Picasso,61.26,62.17,0.0
108,de Chirico,32.86,58.12,0.0
108,van Dongen,56.0,50.94,-10.8
108,Janco,78.72,83.56,0.0
108,Klimt,94.42,91.13,0.0
130,Pollock,81.04,83.31,0.0
130,Braque,77.94,88.27,0.0
130,Picasso,63.62,92.04,0.0
130,de Chirico,54.1,96.87,0.0
130,van Dongen,71.04,66.15,0.0
130,Janco,93.62,96.53,0.0
130,Klimt,101.48,95.75,0.0
112,Pollock,63.9,61.45,15.57
112,Braque,53.86,69.52,-11.9
112,Picasso,57.52,79.52,0.0
112,de Chirico,48.82,91.04,0.0
112,van Dongen,63.18,70.48,-12.65
112,Janco,73.48,85.5,14.84
112,Klimt,87.06,91.84,26.13
123,Pollock,77.16,83.25,12.64
123,Braque,67.04,80.77,-23.74
123,Picasso,64.1,89.45,10.06
123,de Chirico,49.02,92.88,26.88
123,van Dongen,70.5,69.99,-9.41
123,Janco,77.62,80.65,-5.4
123,Klimt,93.7,91.1,32.96
148,Pollock,86.74,78.75,20.92
148,Braque,78.22,85.94,28.26
148,Picasso,63.74,61.02,12.75
148,de Chirico,41.72,73.96,23.46
148,van Dongen,73.38,74.91,7.38
148,Janco,94.28,91.63,36.4
148,Klimt,123.16,81.22,35.77
141,Pollock,85.56,85.49,-10.45
141,Braque,62.12,71.02,0.0
141,Picasso,43.98,58.42,-14.76
141,de Chirico,48.32,88.03,0.0
141,van Dongen,55.74,53.37,46.34
141,Janco,69.0,84.67,0.0
141,Klimt,99.32,76.9,0.0
146,Pollock,75.64,79.3,0.0
146,Braque,70.9,77.83,0.0
146,Picasso,31.28,34.65,-22.72
146,de Chirico,35.98,68.9,-26.03
146,van Dongen,56.0,59.36,0.0
146,Janco,54.9,53.97,0.0
146,Klimt,83.38,73.87,0.0
125,Pollock,87.18,93.19,43.8
125,Braque,67.76,80.53,0.0
125,Picasso,58.44,86.55,0.0
125,de Chirico,45.9,83.38,-21.76
125,van Dongen,86.94,91.55,0.0
125,Janco,106.56,93.96,-10.31
125,Klimt,105.34,96.02,11.92
122,Pollock,80.78,84.55,-2.2
122,Braque,63.42,82.24,27.87
122,Picasso,43.34,58.72,15.44
122,de Chirico,48.26,90.54,-25.45
122,van Dongen,61.08,65.48,21.48
122,Janco,109.9,91.63,17.26
122,Klimt,84.14,85.45,19.92
114,Pollock,30.34,22.44,0.0
114,Braque,42.78,50.91,0.0
114,Picasso,29.56,35.69,
114,de Chirico,18.02,23.49,
114,van Dongen,33.8,32.84,
114,Janco,60.26,60.66,0.0
114,Klimt,75.64,69.75,0.0
113,Pollock,62.0,67.43,0.0
113,Braque,64.74,80.18,17.88
113,Picasso,44.0,62.58,0.0
113,de Chirico,45.7,90.42,0.0
113,van Dongen,69.78,70.78,0.0
113,Janco,73.38,89.97,0.0
113,Klimt,82.16,81.82,41.31
147,Pollock,71.08,68.69,0.0
147,Braque,53.58,64.85,0.0
147,Picasso,46.28,63.32,0.0
147,de Chirico,48.82,93.34,0.0
147,van Dongen,65.9,67.8,0.0
147,Janco,75.1,83.04,-14.08
147,Klimt,87.56,82.14,0.0
140,Pollock,73.96,79.74,-16.11
140,Braque,58.96,61.03,-11.9
140,Picasso,75.74,99.8,0.0
140,de Chirico,49.56,90.91,-37.07
140,van Dongen,74.22,72.73,-27.71
140,Janco,93.42,96.63,0.0
140,Klimt,116.6,94.71,3.84
149,Pollock,93.42,96.77,-26.32
149,Braque,69.4,80.45,0.0
149,Picasso,66.7,91.68,0.0
149,de Chirico,45.64,86.6,-27.73
149,van Dongen,88.14,91.21,0.0
149,Janco,67.9,65.92,0.0
149,Klimt,105.06,99.08,0.0
