Feature,SpearmanRho,p_value
AvgGeneralRating,0.676,0.0
Q5_VisitAgainThisMuseum,0.616,0.0
Q7_RecommendFriends,0.541,0.0001
Q6_VisitOtherMuseums,0.498,0.0003
AvgSelfReportedLiking,0.469,0.0008
Q2_SatisfactionExplanations,0.45,0.0013
Q4_WantMoreExplanations,0.389,0.0063
AvgGazePercent_Audio,0.368,0.0101
AvgGazeTime,0.294,0.0427
TotalDistance,-0.273,0.0608
AvgSpeed,-0.265,0.069
Engagement_High,-0.26,0.0748
TimeMoving,-0.234,0.1097
TotalExperimentTime,-0.209,0.1543
TimeStill,0.188,0.2001
TourType,0.148,0.3153
AvgSaccadeRate,-0.098,0.5054
Q3_VisitDuration,-0.081,0.5823
Engagement_Moderate,0.033,0.8256
Engagement_Low,-0.031,0.8337
