ID,Braque - joy,Braque - sadness,Braque - anger,Braque - disgust,Braque - surprise,Braque - valence,Janco - joy,Janco - sadness,Janco - anger,Janco - disgust,Janco - surprise,Janco - valence,Klimt - joy,Klimt - sadness,Klimt - anger,Klimt - disgust,Klimt - surprise,Klimt - valence,Picasso - joy,Picasso - sadness,Picasso - anger,Picasso - disgust,Picasso - surprise,Picasso - valence,Pollock - joy,Pollock - sadness,Pollock - anger,Pollock - disgust,Pollock - surprise,Pollock - valence,de Chirico - joy,de Chirico - sadness,de Chirico - anger,de Chirico - disgust,de Chirico - surprise,de Chirico - valence,van Dongen - joy,van Dongen - sadness,van Dongen - anger,van Dongen - disgust,van Dongen - surprise,van Dongen - valence
142,0.0,13.92,12.12,0.0,14.3,-5.87,0.0,18.13,20.66,0.0,18.74,-10.02,43.24,13.65,17.73,0.0,24.82,18.34,10.01,14.06,15.36,0,17.73,-0.84,15.06,15.73,16.0,0.0,15.68,-0.49,0.0,18.5,15.75,0.0,16.52,-8.86,0.0,14.52,17.67,0,25.27,-3.46
143,0.0,0.0,0.0,0.0,12.99,6.5,0.0,0.0,0.0,0.0,18.97,9.48,0.0,0.0,0.0,0.0,15.72,7.86,0.0,0.0,0.0,0,14.4,7.2,0.0,0.0,0.0,0.0,14.56,7.28,0.0,28.94,21.58,0.0,11.23,-19.64,0.0,11.52,0.0,0,21.8,5.14
141,,,,,,,25.05,14.35,21.19,0.0,29.49,9.5,14.13,0.0,14.41,0.0,48.63,24.18,13.57,13.41,17.64,0,19.27,0.9,17.63,14.31,17.12,0.0,11.89,-0.96,11.95,14.6,16.84,0.0,31.16,5.84,14.98,18.95,26.9,0,17.27,-6.8
140,0.0,37.14,25.65,0.0,0.0,-31.4,10.18,31.13,28.25,0.0,47.67,-0.76,72.87,16.77,38.77,0.0,12.07,14.7,0.0,24.97,18.33,0,0.0,-21.65,12.05,32.01,25.1,0.0,0.0,-22.53,0.0,33.48,21.7,0.0,44.04,-5.57,22.32,40.02,20.92,0,20.73,-8.95
144,0.0,37.14,25.65,0.0,0.0,-31.4,10.18,31.13,28.25,0.0,47.67,-0.76,72.87,16.77,38.77,0.0,12.07,14.7,0.0,24.97,18.33,0,0.0,-21.65,12.05,32.01,25.1,0.0,0.0,-22.53,0.0,33.48,21.7,0.0,44.04,-5.57,22.32,40.02,20.92,0,20.73,-8.95
145,,,,,,,11.09,0.0,17.27,0.0,0.0,-3.09,18.33,10.9,13.61,0.0,0.0,-3.09,14.93,16.33,16.15,0,20.99,1.72,17.52,11.69,11.13,0.0,11.7,3.2,16.81,13.1,22.1,0.0,13.1,-2.65,13.52,11.23,10.33,0,11.6,1.78
147,19.01,34.24,45.98,0.0,0.0,-30.6,0.0,17.44,17.44,0.0,0.0,-17.44,0.0,0.0,0.0,0.0,69.2,34.6,0.0,24.68,24.68,0,0.0,-24.68,0.0,26.37,23.42,0.0,0.0,-24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.77,26.77,0,0.0,-26.77
146,,,,,,,0.0,26.56,26.56,0.0,0.0,-26.56,0.0,15.07,0.0,0.0,15.3,0.12,0.0,28.78,32.14,0,27.38,-16.77,11.5,16.07,0.0,0.0,11.86,3.64,0.0,11.5,11.5,0.0,27.7,2.35,0.0,22.96,22.96,0,0.0,-22.96
109,0.0,0.0,15.3,0.0,0.0,-7.65,0.0,0.0,15.42,0.0,29.44,7.01,0.0,0.0,15.93,0.0,30.85,7.46,0.0,0.0,0.0,0,10.36,5.18,0.0,15.17,15.17,0.0,22.99,-3.68,0.0,10.92,10.92,0.0,31.31,4.73,0.0,12.69,12.69,0,28.85,1.74
135,0.0,24.07,18.82,0.0,0.0,-21.44,11.0,30.73,19.64,0.0,0.0,-19.69,0.0,40.32,28.63,0.0,0.0,-34.48,0.0,19.62,16.68,0,0.0,-18.15,24.9,35.64,35.64,0.0,31.23,-7.58,11.62,40.61,26.07,0.0,0.0,-27.53,0.0,23.55,23.55,0,0.0,-23.55
121,,,,,,,0.0,0.0,0.0,0.0,14.68,7.34,0.0,18.04,13.1,0.0,21.22,-4.96,0.0,0.0,0.0,0,19.86,9.93,0.0,11.31,11.22,0.0,19.9,-1.32,0.0,24.46,11.44,0.0,24.46,-5.72,0.0,0.0,0.0,0,0.0,0.0
