Type,Question,Mean,Median,SE
1 Fully active,Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,6.14,6.0,0.28
2 Semi-active,Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,6.23,6.0,0.2
3 Passive,Please rate your overall satisfaction with the guided tour of the Minza Blumenthal collection.,6.0,6.0,0.21
1 Fully active,Please rate your satisfaction with the explanations about the artworks.,5.71,6.0,0.3
2 Semi-active,Please rate your satisfaction with the explanations about the artworks.,6.15,6.0,0.25
3 Passive,Please rate your satisfaction with the explanations about the artworks.,5.79,6.0,0.3
1 Fully active,Was the duration of the visit to your liking?,4.57,4.0,0.23
2 Semi-active,Was the duration of the visit to your liking?,4.85,5.0,0.19
3 Passive,Was the duration of the visit to your liking?,4.64,4.0,0.25
1 Fully active,Would you like to hear more explanations of this kind about other works in the collection?,4.93,5.0,0.45
2 Semi-active,Would you like to hear more explanations of this kind about other works in the collection?,5.31,5.0,0.31
3 Passive,Would you like to hear more explanations of this kind about other works in the collection?,4.79,5.5,0.44
1 Fully active,Would you like to visit the museum again with such a guide?,5.43,5.5,0.43
2 Semi-active,Would you like to visit the museum again with such a guide?,5.85,6.0,0.34
3 Passive,Would you like to visit the museum again with such a guide?,5.0,5.0,0.36
1 Fully active,Would you like to visit other museums with similar guidance?,5.36,6.0,0.36
2 Semi-active,Would you like to visit other museums with similar guidance?,6.23,6.0,0.26
3 Passive,Would you like to visit other museums with similar guidance?,5.5,5.0,0.33
1 Fully active,Would you recommend your friends to visit the collection accompanied by this type of audio guide?,5.64,6.0,0.27
2 Semi-active,Would you recommend your friends to visit the collection accompanied by this type of audio guide?,6.38,7.0,0.21
3 Passive,Would you recommend your friends to visit the collection accompanied by this type of audio guide?,5.86,6.0,0.25
1 Fully active,Please rate how much you liked the artwork.,5.5,5.5,0.25
2 Semi-active,Please rate how much you liked the artwork.,5.69,6.0,0.26
3 Passive,Please rate how much you liked the artwork.,4.57,5.0,0.41
1 Fully active,Please rate how much you liked the artwork..1,5.0,5.0,0.48
2 Semi-active,Please rate how much you liked the artwork..1,5.08,5.0,0.4
3 Passive,Please rate how much you liked the artwork..1,5.14,5.0,0.43
1 Fully active,Please rate how much you liked the artwork..2,4.57,4.5,0.41
2 Semi-active,Please rate how much you liked the artwork..2,4.15,4.0,0.47
3 Passive,Please rate how much you liked the artwork..2,4.36,4.0,0.34
1 Fully active,Please rate how much you liked the artwork..3,4.21,3.5,0.51
2 Semi-active,Please rate how much you liked the artwork..3,4.69,5.0,0.55
3 Passive,Please rate how much you liked the artwork..3,4.14,5.0,0.49
1 Fully active,Please rate how much you liked the artwork..4,6.29,7.0,0.37
2 Semi-active,Please rate how much you liked the artwork..4,5.15,5.0,0.37
3 Passive,Please rate how much you liked the artwork..4,5.57,6.0,0.27
1 Fully active,Please rate how much you liked the artwork..5,5.64,6.0,0.33
2 Semi-active,Please rate how much you liked the artwork..5,5.69,7.0,0.56
3 Passive,Please rate how much you liked the artwork..5,5.5,6.0,0.45
1 Fully active,Please rate how much you liked the artwork..6,4.71,5.0,0.5
2 Semi-active,Please rate how much you liked the artwork..6,5.62,6.0,0.39
3 Passive,Please rate how much you liked the artwork..6,5.43,6.0,0.37
